,Produto,EAN,Marca,Descrição
115,Sinvastatina 40mg 30 Comprimidos Sandoz,7897595609892,SANDOZ GENERICOS,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
116,Pantoprazol 20mg 28 Comprimidos Medley,7896422506595,MEDLEY - GEN,
117,Gastrol 10 Pastilhas,7896622302805,HYPERA,
118,Sucrafilm 2G 20 Flaconetes 10Ml,7894916500746,SIGMA PHARMA OL,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
119,Advil Extra Alívio 400Mg 8 Capsulas,7896009498442,GLAXO SMITHKLINE - OTC,
120,Prednisolona 20mg 10 Comprimidos Neo Química,7896714212104,NEO QUIMICA,
121,Aciclovir 50mg Creme 10g Biosintética,7896181901143,BIOSINTETICA - GEN,
122,Sulfato de Neomicina+Bacitracina Pomada 15g Medley,7896422504454,MEDLEY - GEN,"Este medicamento é indicado para o tratamento de infecções da pele e/ou de mucosas, causadas por diferentes bactérias, como por exemplo: nas “dobras” da pele, ao redor dos pelos, na parte de fora da orelha, nos furúnculos, nas lesões com pus, na acne infectada, nas feridas abertas (como úlceras na pele) e nas queimaduras de pele.Também é indicado para prevenir infecções de pele e/ou de mucosas após ferimentos, cortes (inclusive de cirurgias) e queimaduras pequenas.Este medicamento contém dois antibióticos, a neomicina e a bacitracina zíncica, que juntos inibem o crescimento de vários tipos de bactérias, principalmente as que costumam causar infecções de pele e de mucosas. Por isto, este medicamento é eficaz para tratar e para prevenir infecções de pele e de mucosas.Os efeitos deste medicamento começam logo após sua aplicação. Na maioria dos casos, pode-se observar a melhora da lesão cerca de dois ou três dias após o início do tratamento. Contudo, a resposta ao tratamento depende, dentre outros fatores, do tamanho e tipo da lesão e da defesa do organismo do paciente. Caso não seja observada uma melhora, informe seu médico."
123,Neolefrin 20 Comprimidos,7896714265933,NEO QUIMICA,"Neolefrin é indicado contra os sintomas da gripe e resfriado, possui ação múltipla como: congestão nasal, dores em geral, febre e coriza.
SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO EM CASO DE DOENÇAS DO CORAÇÃO, PRESSÃO ALTA E GLAUCOMA. NÃO USE JUNTO COM OUTROS MEDICAMENTOS QUE CONTENHAM PARACETAMOL, COM ÁLCOOL, OU EM CASO DE DOENÇA GRAVE DO FÍGADO. DURANTE SEU USO, NÃO DIRIJA VEÍCULOS OU OPERE MÁQUINAS, POIS SUA AGILIDADE E ATENÇÃO PODEM ESTAR PREJUDICADAS."
124,Dipirona 50mg Solução Oral 100ml Medley,7896422506243,MEDLEY - GEN,"Este medicamento é indicado como analgésico e antitérmico.A dipirona monoidratada não deve ser administrada a pacientes:- Com hipersensibilidade à dipirona ou a qualquer um dos componentes da formulação ou a outras pirazolonas (ex. fenazona, propifenazona) ou a pirazolidinas (ex. fenilbutazona, oxifembutazona) incluindo, por exemplo, experiência prévia de agranulocitose com uma destas substâncias;- Com função da medula óssea prejudicada (ex. após tratamento citostático) ou doenças do sistema hematopoiético;- Que tenham desenvolvido broncoespasmo ou outras reações anafilactoides (isto é urticária, rinite, angioedema) com analgésicos tais como salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina, naproxeno;- Com porfiria hepática aguda intermitente (risco de indução de crises de porfiria);- Com deficiência congênita da glicose-6-fosfato-desidrogenase (G6PD) (risco de hemólise);- Gravidez e lactação.Este medicamento é contraindicado para menores de 3 meses de idade ou pesando menos de 5 kg.Categoria de risco na gravidez: D.Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica. Informe imediatamente seu médico em caso de suspeita de gravidez."
125,Lacto Purga 6Comprimidos,7896094903234,HYPERMARCAS-DM,
126,Alivium 400Mg 3 Cápsulas,7891142203410,MANTECORP/FARMASA - OL,
127,Musculare 10Mg 15Comprimidos,7891317432362,EUROFARMA LABORATÓRIOS S.A,
128,Magnesia Bissurada 40 Pastilhas,7895858017439,ASPEN,
129,Pantogar Neo 60Capsulas,7896112400448,BIOLAB SANUS,"Suplemento vitamínico capilar que auxilia no crescimento do cabelo, fortalecendo a saúde dos fios e evitando a queda, além de promover o brilho e resistência. Ainda, contém proteína hidrolisada de Oryza sativa com BCAAs, levedura, vitaminas e minerais, que protegem contra os danos do dia a dia, como os causados pelo Sol. Ajuda na manutenção das necessidades diárias de vitaminas, minerais e aminoácidos, essenciais para a saúde dos cabelos.E ainda como os diferenciais:Proteína de Oryza Sativa: combinação de aminoácidos que formam os fios dos cabelos.Biotina: colabora para o crescimento dos cabelos.Zinco Quelado: é importante para o bom funcionamento do ciclo capilar."
130,Hidroxido de Alumínio 240ml EMS,7896004701288,EMS GENÉRICO,
131,Inilok 40Mg 30Comprimidos,7896637031509,APSEN FARMACÊUTICA S/A,"Indicação: Inilok 40mg é indicado para o tratamento das esofagites de refluxo moderadas ou graves e dos sintomas de refluxo gastroesofágico (azia e regurgitação). Também é indicado para tratamento intermitente de sintomas, de acordo com a necessidade.

Posologia: A posologia habitualmente recomendada é de um comprimido de 40 mg ao dia, antes, durante ou após o café da manhã, a menos que seja prescrito de outra maneira pelo seu médico. A duração do tratamento fica a critério médico e depende da indicação. Na maioria dos pacientes, o alívio dos sintomas é rápido e, em geral, um período de tratamento de 4 a 8 semanas é suficiente. Inilok destina-se a uso exclusivamente oral e os comprimidos devem ser ingeridos inteiros com um pouco de líquido. Este medicamento não deve ser partido, aberto ou mastigado.

Quando não devo usar este medicamento: Inilok deve ser usado por pacientes que apresentem alergia (hipersensibilidade) conhecida ao pantoprazol ou a quaisquer dos componentes da fórmula, ou a benzimidazóis substituídos. Este medicamento é contraindicado para menores de 18 anos. Este medicamento não deve ser utilizado por mulheres grávidas ou durante a amamentação sem orientação médica ou do cirurgião-dentista.

INILOK 40MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.
VENDA SOB PRESCRIÇÃO MÉDICA."
132,Neosaldina 10Drageas,7896094921993,HYPERMARCAS-DM,"NEOSALDINA® é um medicamento com atividade analgésica (diminui a dor) e antiespasmódica (diminui contração involuntária) indicado para o tratamento de diversos tipos de dor de cabeça, incluindo enxaquecas ou para o tratamento de cólicas.NEOSALDINA® funciona pela ação da dipirona, do isometepteno e da cafeína. A dipirona atua na redução da sensibilidade para a dor. O isometepteno atua tanto na redução da dilatação dos vasos sanguíneos cerebrais (diminui o calibre dos vasos sanguíneos da cabeça) contribuindo para a redução da dor, quanto na potencialização do efeito analgésico e antiespasmódico. A cafeína é um estimulante do sistema nervoso central (atua na cabeça) e apresenta uma ação vasoconstritora (diminui o calibre dos vasos sanguíneos) sobre as artérias cranianas (artérias na cabeça), sendo útil no tratamento das dores de cabeça, especialmente das enxaquecas. O seu início de ação ocorre entre 15 a 30 minutos após sua administração oral e permanece por 4 a 6 horas"
133,Anador 4Comprimidos,7891058021665,AVENTIS - OL,
134,Budesonida 64mg Spray Nasal 120 Doses EMS,7896004758275,EMS GENÉRICO,"A budesonida é um glicocorticosteroide com grande efeito anti-inflamatório local. A budesonida reduz e previne a inflamação e o inchaço da mucosa do nariz causados por alergias. A budesonida promove alívio inicial dos sintomas em até 10 horas. O benefício máximo pode não ser alcançado antes de 1 a 2 semanas ou mais após o início do tratamento. 

Indicações: A Budesonida é indicada para pacientes com rinites não-alérgica e alérgica perenes e alérgica sazonal, tratamento de pólipo nasal e prevenção de pólipo nasal após polipectomia (extração do pólipo). 

Contraindicações: A budesonida não deve ser usada por pacientes com alergia à budesonida ou a qualquer componente da fórmula. Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.BUDESONIDA 64MCG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99."
135,Pantoprazol 40mg 28 Comprimidos Legrand,7894916140393,LEGRAND GENERICOS,
136,Redoxon Tripla Acao 10Comprimidos Efervescente,7891106912655,BAYER/SCHERING - OL,"O que é o Redoxon Tripla Ação Comprimidos Efervescentes?Redoxon Tripla Ação é um suplemento alimentar com Vitamina C, D e Zinco sabor laranja, com nutrientes que auxiliam no fortalecimento do sistema imune contra vírus, infecções, mudanças climáticas e estresse. Os comprimidos efervescentes de Redoxon Tripla Ação dissolvem rapidamente na água e é recomendado para adultos e crianças com mais de 12 anos.Para que serve o Redoxon Tripla Ação Comprimidos Efervescentes?É indicado como suplemento vitamínico e mineral antioxidante auxiliar do sistema imunológico, além de pós-cirúrgico e cicatrizante, também auxilia em doenças crônicas e convalescença, dietas restritivas e inadequadas.Como usar o Redoxon Tripla Ação Comprimidos Efervescentes?Ingerir 1 comprimido ao dia ou a critério médico. O comprimido deve ser efervescido em um copo com água em temperatura ambiente. É importante aguardar o comprimido efervescer por completo para utilizá-lo.Este produto não é um medicamento. Não exceder a recomendação diária de consumo indicada na embalagem. Mantenha fora do alcance de criança."
137,Decongex Plus 12Comprimidos,7896658001901,ACHE,
138,Tylenol Extra Power 500Mg 20Comprimidos,7891010986155,J&J - OL,"TYLENOL® 500mg é um analgésico indicado para o alívio temporário da dor leve a moderada, como aquelas associadas a gripes, resfriados, artrites e cólicas, e para redução da febre. A embalagem contém 20 comprimidos com 500mg de paracetamol cada."
139,Massageol Aerosol 120ml,7896714273006,NEO QUIMICA,
140,Sonridor CAF 4Comprimidos,7896015517069,GLAXO SMITHKLINE - OTC,
141,Puran T4 100Mcg 30Comprimidos,7897595901033,AVENTIS - OL,"Para que serve o Puran T4?Este medicamento é destinado à:Terapia de reposição ou suplementação hormonal (de hormônio) em pacientes com hipotireoidismo (produção insuficiente de hormônio pela glândula tireoide) de qualquer causa (exceto no hipotireoidismo transitório, durante a fase de recuperação de tireoidite subaguda-doença inflamatória da glândula tireoide). Nesta categoria incluem-se: cretinismo (condição que ocorre na infância ou na fase de amamentação devido à deficiência de hormônios da tireoide na fase fetal), mixedema (associado ao hipotireoidismo, é caracterizado pela pele seca e áspera, lábios inchados e nariz espessado) e hipotireoidismo comum em pacientes de qualquer idade (crianças, adultos e idosos) ou fase (por exemplo, gravidez); hipotireoidismo primário resultante de redução da função da tireoide; diminuição primária da tireoide; remoção total ou parcial da glândula tireoide, com ou sem bócio (aumento perceptível da tireoide); hipotireoidismo secundário (da glândula hipófise) ou terciário (do hipotálamo, que é uma região do cérebro que controla o sistema endócrino).Supressão do TSH hipofisário (hormônio estimulante da tireoide ou tireotropina) no tratamento ou prevenção dos vários tipos de bócios eutireoidianos (bócio decorrente do aumento de TSH), inclusive nódulos tireoidianos, tireoidite linfocítica subaguda ou crônica (tireoidite de Hashimoto/tireoidite autoimune) e carcinomas foliculares e papilares (tumores malignos) da tireoide dependentes de tireotropina.Ao diagnóstico nos testes de supressão, auxiliando no diagnóstico da suspeita de hipertireoidismo (produção excessiva de hormônio pela glândula tireoide) leve ou de glândula tireoide autônoma.Como usar o Puran T4?USO ORAL.USO ADULTO E PEDIÁTRICO.As doses administradas de PURAN T4 variam de acordo com o grau de hipotireoidismo, a idade do paciente e a tolerabilidade individual. A fim de se adaptar a posologia, é recomendável antes de iniciar o tratamento efetuar as dosagens do (T3), (T4) e do TSH.Você deve tomar os comprimidos com líquido, por via oral.Uso adultoHipotireoidismo:PURAN T4 deve ser administrado em doses baixas (50 mcg/dia) que serão aumentadas de acordo com as condições cardiovasculares do paciente.Dose inicial:50 mcg/dia, aumentando-se 25 mcg a cada 2 ou 3 semanas até que o efeito desejado seja alcançado. Em pacientes com hipotireoidismo de longa data, particularmente com suspeita de alterações cardiovasculares, a dose inicial deverá ser ainda mais baixa (25 mcg/dia).Manutenção:recomenda-se 75 a 125 mcg diários sendo que alguns pacientes, com má absorção, podem necessitar de até 200 mcg/dia. A maioria dos pacientes não exige doses superiores a 150 mcg/dia. A falta de resposta às doses de 200 mcg/dia sugere má absorção, não obediência ao tratamento ou erro diagnóstico.Supressão do TSH (câncer de tireoide) / nódulos / bócios eutireoidianos em adultos:Dose supressiva média de levotiroxina (T4): 2,6 mcg/kg/dia, durante 7 a 10 dias. Essa dose geralmente é suficiente para obter normalização dos níveis de T3 e T4 no organismo e falta de resposta à ação do TSH. A levotiroxina sódica deve ser empregada com cautela em pacientes com suspeita de glândula tireoide independente, considerando que a ação dos hormônios exógenos (de origem externa ao organismo) pode somar-se aos hormônios de fonte endógena (originários do organismo).Uso pediátricoNo recém-nascido, a posologia inicial deverá ser de 5 a 6 mcg/kg/dia em função da dosagem dos hormônios circulantes. Na criança a posologia deve ser estabelecida em função dos resultados das dosagens hormonais e em geral é de 3 mcg/kg/dia.Os comprimidos de PURAN T4 devem ser ingeridos com estômago vazio (1 hora antes ou 2 horas após o café da manhã ou ingestão de alimento), a fim de aumentar sua absorção.Para as crianças com dificuldades de ingerir os comprimidos, estes devem ser triturados e dissolvidos em pequena quantidade de água. Esta suspensão pode ser administrada em colher ou conta-gotas. Os comprimidos triturados podem também ser administrados com pequenas quantidades de alimentos (cereais, sucos, etc.). Esta suspensão preparada não pode ser guardada para uso posterior.Não há estudos dos efeitos de PURAN T4 administrado por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral, conforme recomendado pelo médico.Pacientes idososNo idoso, a integridade do sistema cardiovascular pode estar comprometida. Por isso, neste paciente a terapia com PURAN T4 deve ser iniciada com doses baixas, como por exemplo: 25-50 mcg/dia.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico.Quando não devo usar o Puran T4?PURAN T4 não deve ser utilizado em caso de: hipersensibilidade (alergia) aos componentes da fórmula, infarto do miocárdio recente, tireotoxicose não tratada (síndrome clínica, não tratada, resultante de níveis elevados de hormônio da tireoide), insuficiência suprarrenal (da glândula localizada sobre os rins) descompensada e hipertireoidismo não tratado.Não há contraindicação relativa a faixas etárias.PURAN T4 100MCG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA."
142,"Rapilax 7,5mg Gotas 30ml",7896331704808,KLEY HERTZ,
143,Dipirona 500mg 30 Comprimidos Medley,7896422507059,MEDLEY - GEN,
144,Hemitartarato de Zolpidem 10mg 20 Comprimidos Biolab,7896112401223,BIOLAB SANUS,
145,Simeticona 40mg 20 Comprimidos Medley,7896422522823,MEDLEY - GEN,
146,Diane 35 21Comprimidos,7891106913966,BAYER,
147,Cutisanol Gel 100G,7897406119879,CRISTALIA,"Cutisanol® Gel é um medicamento especialmente formulado para prevenir e combater as dermatites causadas pelo uso de fraldas e também eritemas provocados por assaduras e brotoejas. Possui ação emoliente, umectante e hidratante, deixando a pele macia e perfumada. O uso diário de Cutisanol® Gel ajuda a proteger a pele da ação do vento e proporciona sensação de frescor após exposição prolongada ao sol. PARA MAIS INFORMAÇÕES CONTINUE LENDO A BULA.Modo de usar:Prevenção e combate a assaduras: Sobre a pele limpa e seca, aplicar Cutisanol® Gel diretamente nas partes afetadas. Espalhar o medicamento fazendo movimentos circulares até a obtenção de uma camada fina sobre a pele, protegendo-a contra o contato da urina e das fezes. Utilizar após o banho, após cada troca de fralda ou a critério médico. PARA MAIS INFORMAÇÕES CONTINUE LENDO A BULA. PROCURE O MÉDICO OU FARMACÊUTICO."
148,Advantan Creme 15G,5702191025583,LEO PHARMA LTDA,
149,Vick 44E Xarope 120Ml,7590002023228,P&G - MED,
150,Fluconazol 150mg 2 Cápsulas Cimed,7896523208770,CIMED,
151,Puran T4 88Mcg 30Comprimidos,7897595903365,AVENTIS - OL,"Para que serve o Puran T4?Este medicamento é destinado à:Terapia de reposição ou suplementação hormonal (de hormônio) em pacientes com hipotireoidismo (produção insuficiente de hormônio pela glândula tireoide) de qualquer causa (exceto no hipotireoidismo transitório, durante a fase de recuperação de tireoidite subaguda-doença inflamatória da glândula tireoide). Nesta categoria incluem-se: cretinismo (condição que ocorre na infância ou na fase de amamentação devido à deficiência de hormônios da tireoide na fase fetal), mixedema (associado ao hipotireoidismo, é caracterizado pela pele seca e áspera, lábios inchados e nariz espessado) e hipotireoidismo comum em pacientes de qualquer idade (crianças, adultos e idosos) ou fase (por exemplo, gravidez); hipotireoidismo primário resultante de redução da função da tireoide; diminuição primária da tireoide; remoção total ou parcial da glândula tireoide, com ou sem bócio (aumento perceptível da tireoide); hipotireoidismo secundário (da glândula hipófise) ou terciário (do hipotálamo, que é uma região do cérebro que controla o sistema endócrino).Supressão do TSH hipofisário (hormônio estimulante da tireoide ou tireotropina) no tratamento ou prevenção dos vários tipos de bócios eutireoidianos (bócio decorrente do aumento de TSH), inclusive nódulos tireoidianos, tireoidite linfocítica subaguda ou crônica (tireoidite de Hashimoto/tireoidite autoimune) e carcinomas foliculares e papilares (tumores malignos) da tireoide dependentes de tireotropina.Ao diagnóstico nos testes de supressão, auxiliando no diagnóstico da suspeita de hipertireoidismo (produção excessiva de hormônio pela glândula tireoide) leve ou de glândula tireoide autônoma.Como usar o Puran T4?USO ORAL.USO ADULTO E PEDIÁTRICO.As doses administradas de PURAN T4 variam de acordo com o grau de hipotireoidismo, a idade do paciente e a tolerabilidade individual. A fim de se adaptar a posologia, é recomendável antes de iniciar o tratamento efetuar as dosagens do (T3), (T4) e do TSH.Você deve tomar os comprimidos com líquido, por via oral.Uso adultoHipotireoidismo:PURAN T4 deve ser administrado em doses baixas (50 mcg/dia) que serão aumentadas de acordo com as condições cardiovasculares do paciente.Dose inicial:50 mcg/dia, aumentando-se 25 mcg a cada 2 ou 3 semanas até que o efeito desejado seja alcançado. Em pacientes com hipotireoidismo de longa data, particularmente com suspeita de alterações cardiovasculares, a dose inicial deverá ser ainda mais baixa (25 mcg/dia).Manutenção:recomenda-se 75 a 125 mcg diários sendo que alguns pacientes, com má absorção, podem necessitar de até 200 mcg/dia. A maioria dos pacientes não exige doses superiores a 150 mcg/dia. A falta de resposta às doses de 200 mcg/dia sugere má absorção, não obediência ao tratamento ou erro diagnóstico.Supressão do TSH (câncer de tireoide) / nódulos / bócios eutireoidianos em adultos:Dose supressiva média de levotiroxina (T4): 2,6 mcg/kg/dia, durante 7 a 10 dias. Essa dose geralmente é suficiente para obter normalização dos níveis de T3 e T4 no organismo e falta de resposta à ação do TSH. A levotiroxina sódica deve ser empregada com cautela em pacientes com suspeita de glândula tireoide independente, considerando que a ação dos hormônios exógenos (de origem externa ao organismo) pode somar-se aos hormônios de fonte endógena (originários do organismo).Uso pediátricoNo recém-nascido, a posologia inicial deverá ser de 5 a 6 mcg/kg/dia em função da dosagem dos hormônios circulantes. Na criança a posologia deve ser estabelecida em função dos resultados das dosagens hormonais e em geral é de 3 mcg/kg/dia.Os comprimidos de PURAN T4 devem ser ingeridos com estômago vazio (1 hora antes ou 2 horas após o café da manhã ou ingestão de alimento), a fim de aumentar sua absorção.Para as crianças com dificuldades de ingerir os comprimidos, estes devem ser triturados e dissolvidos em pequena quantidade de água. Esta suspensão pode ser administrada em colher ou conta-gotas. Os comprimidos triturados podem também ser administrados com pequenas quantidades de alimentos (cereais, sucos, etc.). Esta suspensão preparada não pode ser guardada para uso posterior.Não há estudos dos efeitos de PURAN T4 administrado por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral, conforme recomendado pelo médico.Pacientes idososNo idoso, a integridade do sistema cardiovascular pode estar comprometida. Por isso, neste paciente a terapia com PURAN T4 deve ser iniciada com doses baixas, como por exemplo: 25-50 mcg/dia.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico.Quando não devo usar o Puran T4?PURAN T4 não deve ser utilizado em caso de: hipersensibilidade (alergia) aos componentes da fórmula, infarto do miocárdio recente, tireotoxicose não tratada (síndrome clínica, não tratada, resultante de níveis elevados de hormônio da tireoide), insuficiência suprarrenal (da glândula localizada sobre os rins) descompensada e hipertireoidismo não tratado.Não há contraindicação relativa a faixas etárias.PURAN T4 125MCG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA."
152,Sonrisal 5x2Comprimidos Eferv Limão,7896015591847,GLAXO SMITHKLINE - OTC,
153,Tadalafila 20mg 8 Comprimidos Prati-Donaduzzi,7899547513226,PRATI-DONADUZZI,
154,Maleato de Enalapril 10mg 30 Comprimidos Neo Química,7896714205823,NEO QUIMICA - GENERICOS,
155,Cetoprofeno 150mg 10 Comprimidos Medley,7891058002961,MEDLEY - GEN,"Cetoprofeno tem propriedades anti-inflamatória, antitérmica e analgésica, com princípio ativo o cetoprofeno, de natureza não hormonal. O Cetoprofeno inibe a agregação plaquetária (união das plaquetas umas às outras) e a síntese das prostaglandinas (mediador químico relacionado à inflamação), no entanto, seu exato mecanismo de ação não é completamente conhecido. 

Para que serve: O cetoprofeno é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores decorrentes de processos reumáticos (doenças que podem afetar músculos, articulações e esqueleto), traumatismos (lesão interna ou externa resultante de um agente externo) e de dores em geral.CETOPROFENO 150MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99."
156,Xigduo XR 5/1000 60Comprimidos,5000456028370,ASTRA ZENECA,
157,Fluconazol 150mg 2 Cápsulas Medley,7896422505079,MEDLEY - GEN,
158,SUP GLICERINA AD GRANADO 12UN,7896512901392,GRANADO,
159,Tadalafila 20mg 4 Comprimidos EMS,7896004749648,EMS GENÉRICO,
160,Alivium 100Mg Gotas 20Ml,7891142115492,MANTECORP/FARMASA - OL,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
161,Seakalm 260mg 20 Comprimidos,7898133136047,NATULAB,"Produto é indicado para o tratamento da ansiedade leve, como estados de irritabilidade, agitação nervosa, tratamento de insônia e desordens da ansiedade."
162,Lacrifilm 5Mg/Ml Solução Oftalmica  10Ml,7896006291398,GENON,
163,VItamina C Redoxon 1g com 30 comprimidos Sabor Laranja,7891106907118,BAYER/SCHERING - OL,"Para que serve o Redoxon 1g?Redoxon® é indicado como suplemento vitamínico:auxiliar do sistema imunológico;antioxidante;pós-cirúrgico e cicatrizante;doenças crônicas e convalescença;dietas restritivas e inadequadas;como auxiliar nas anemias carenciais.Redoxon® também é indicado como suplemento vitamínico para idosos.Como usar o Redoxon 1g?Posologia e Modo de usarAdultos e crianças acima de 12 anos:1 comprimido efervescente ao dia.O comprimido efervescente deverá ser dissolvido em um copo com água (aproximadamente 200 ml).“Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista”.Quando não devo usar o Redoxon 1g?Redoxon® é contraindicado:para pacientes que apresentem hipersensibilidade (alergia) a qualquer um dos ingredientes ativos ou a qualquer um dos excipientes;para pacientes com presença ou histórico de cálculo renal (pedra nos rins) por oxalato ou com eliminação de oxalato pela urina;para pacientes com insuficiência renal grave (deficiência do funcionamento do rim) ou falência renal, inclusive aqueles que estejam em diálise;O uso de altas doses de vitamina C em pacientes cujos rins não funcionem efetivamente, pode provocar a formação de cristais e/ou pedras nos rins ou levar a insuficiência renal.para pacientes com hemocromatose (absorção exagerada de ferro pelo organismo). Redoxon® é contraindicado para menores de 12 anos.SE PERSISTIREM OS SINTOMAS O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO EM CASO DE DOENÇA GRAVE DOS RINS."
164,Cataflam Pro Emulgel 30G,7896261014244,GLAXO SMITHKLINE - OTC,
165,Cefaliv 12Comprimidos,7896658001079,ACHE,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
166,Naridrin Adulto Solução Nasal 30ml,7896004714578,EMS,"É indicado como vasoconstritor nasal no tratamento da congestão nasal de origem alérgica ou inflamatória, nas rinites e rinofaringites. Também indicado para o tratamento auxiliar da congestão nasal provocada por gripes e resfriados."
