Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Enantato de Noretisterona+Estradiol 50mg/5mg 1Ampola 1ml Eurofarma,7891317496388,EUROFARMA - GEN,,29.84,20.79,30.0%,Santo Remedio,Sudeste,Sao Paulo
Diclofenaco Dietilamonio Gel/Creme 60G,7896523207803,CIMED,"Diclofenaco Dietilamônio Gel é indicado para aliviar a dor e diminuir a inflamação e o inchaço em diversas condições dolorosas, tais como: Lesões musculares, articulares (por exemplo: entorses, distensões, contusões) ou tendinites; Dor de osteoartrite.",19.49,17.15,12.0%,Santo Remedio,Sudeste,Sao Paulo
Neosulida 100mg 12 Comprimidos,7896714200361,NEO QUIMICA,"Este medicamento é destinado ao tratamento de uma variedade de condições que requeiram atividade anti-inflamatória (contra a inflamação), analgésica (contra a dor) e antipirética (contra a febre).
NEOSULIDA 100MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",15.05,8.82,41.0%,Santo Remedio,Sudeste,Sao Paulo
Desloratadina 5mg 10 Comprimidos Germed,7896004725673,GERMED-SIGMA PHARMA,,61.53,29.71,52.0%,Santo Remedio,Sudeste,Sao Paulo
Engov 12Comprimidos,7896094907294,HYPERMARCAS-DM,"Esse medicamento atua como analgésico (alivia as dores) e na melhora de sintomas alérgicos. Atua ainda como estimulante suave do Sistema Nervoso Central (SNC) que associado a analgésicos auxilia no alívio da dor. O tempo de início da ação deste medicamento varia conforme o histórico de cada paciente. Em cefaleias leves a moderadas, sabe-se que em 60 minutos, após sua ingestão, tem-se o efeito esperado do medicamento.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO EM CASO DE GRAVIDEZ, GASTRITE OU ÚLCERA DO ESTÔMAGO E SUSPEITA DE DENGUE OU CATAPORA. NÃO USE ESTE MEDICAMENTO EM CASO DE DOENÇA DOS RINS E DOR ABDOMINAL AGUDA.",13.86,13.86,,Santo Remedio,Sudeste,Sao Paulo
Besilato de Anlodipino 10mg 30 Comprimidos Neo Química,7896714211312,NEO QUIMICA - GENERICOS,"O Besilato de Anlodipino é indicado como medicamento de primeira escolha no tratamento da hipertensão (pressão alta) e angina de peito (dor no peito, por doença do coração) devido à isquemia miocárdica (falta de sangue no coração). O besilato de anlodipino pode ser usado isoladamente ou em combinação com outros medicamentos para tratar as mesmas indicações acima.BESILATO DE ANLODIPINO 10MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99.",29.35,17.24,41.0%,Santo Remedio,Sudeste,Sao Paulo
Luftal Gel 125MG 20Capsulas Gelatinosas,7896222720856,RECKITT,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",53.2,53.2,,Santo Remedio,Sudeste,Sao Paulo
Cloridrato de Hidroxizina 2mg/ml Xarope 120ml Germed,7896004727363,GERMED-SIGMA PHARMA,,30.4,27.83,8.0%,Santo Remedio,Sudeste,Sao Paulo
Yaz 24+4Comprimidos,7891106915342,BAYER,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",110.35,97.83,11.0%,Santo Remedio,Sudeste,Sao Paulo
Omeprazol 20mg 28 Cápsulas Cimed,7896523227184,CIMED,,14.11,14.11,,Santo Remedio,Sudeste,Sao Paulo
Omeprazol 20mg 56 Cápsulas Cimed,7896523227191,CIMED,,40.54,21.66,47.0%,Santo Remedio,Sudeste,Sao Paulo
Naldecon Noite 4Comprimidos,7896016806247,RECKITT,,12.8,12.8,,Santo Remedio,Sudeste,Sao Paulo
Lacribell Solução Oftalmica 15Ml,7896676432855,LATINOFARMA,"Lacribell Solução Oftálmica Estéril age lubrificando os olhos, aliviando temporariamente a irritação e ardor nos olhos.",25.56,25.56,,Santo Remedio,Sudeste,Sao Paulo
Fostair Dpi Po Inalatorio 120 Doses,7896672201257,FARMALAB,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",201.75,170.5,15.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato de Trazadona 100mg 30 Comprimidos EMS,7896004752228,EMS GENÉRICO,,81.51,40.44,50.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato de Ambroxol 15mg/5ml Xarope Infantil 120ml Cimed,7896523207643,CIMED,,22.32,18.03,19.0%,Santo Remedio,Sudeste,Sao Paulo
Brasart 160Mg 30Comprimidos,7894916507936,SIGMA PHARMA,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",49.2,49.2,,Santo Remedio,Sudeste,Sao Paulo
Corus 25Mg 30Comprimidos,7896181920397,ACHE,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",52.99,44.79,15.0%,Santo Remedio,Sudeste,Sao Paulo
Ambroxmel Xarope Adulto 120ml,7896523207681,CIMED,,25.96,17.3,33.0%,Santo Remedio,Sudeste,Sao Paulo
Forxiga 10mg 30Comprimidos,5000456070423,ASTRA ZENECA,,226.55,187.95,17.0%,Santo Remedio,Sudeste,Sao Paulo
Leite de Magnesia Eno 350ml Sabor Tradicional,7896015591946,GLAXO SMITHKLINE - OTC,,25.61,20.99,18.0%,Santo Remedio,Sudeste,Sao Paulo
Desloratadina 5mg/ml Xarope 60ml Eurofarma,7891317003487,EUROFARMA - GEN,,41.86,19.88,53.0%,Santo Remedio,Sudeste,Sao Paulo
Pozato Uni 1Comprimidos,7896094201644,LIBBS,,34.32,23.63,31.0%,Santo Remedio,Sudeste,Sao Paulo
"Iumi Es 3/0,02Mg 30Comprimidos",7896094210271,LIBBS,"Iumi é utilizado para prevenir a gravidez. Este medicamento pode proporcionar também benefícios adicionais: melhora dos sintomas associados à retenção de líquido, como distensão abdominal (aumento do volume do abdômen), inchaço ou ganho de peso. Além disso, é utilizado para o tratamento da acne vulgaris moderada (espinha) em mulheres que buscam adicionalmente proteção contraceptiva. 

Iumi ES é um contraceptivo oral combinado (COC), com um regime estendido flexível baseado no contraceptivo convencional Iumi®. Por esta razão, o regime contínuo mínimo de ingestão dos comprimidos é de 24 dias e a duração máxima do período de pausa sem a ingestão de comprimidos é de 4 dias. Cada comprimido revestido contém uma combinação de dois hormônios femininos: a drospirenona (progestógeno) e o etinilestradiol (estrogênio). Devido às pequenas concentrações destes hormônios, Iumi ES é considerado um contraceptivo oral combinado de baixa dose. 


IUMI ES 3MG + 0,02MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. 

VENDA SOB PRESCRIÇÃO MÉDICA.",72.58,60.84,16.0%,Santo Remedio,Sudeste,Sao Paulo
BIC.SODIO 50G UNIPHAR,7898031311232,UNIPHAR,Embalagem com 50g,3.09,3.09,,Santo Remedio,Sudeste,Sao Paulo
Aceviton Zinco 1g 10 Comprimidos Efervescentes,7897947616325,CIMED,"O que éAceviton com Vitamina C e Zinco possui ação antioxidante e é indicado para fortalecer o sistema imunológico. Não contém açúcar.Para que serveO zinco completa a ação da vitamina C no sistema imunológico, pois também participa da produção de anticorpos e da formação e funcionamento das células responsáveis pela defesa no nosso organismo. O zinco combate os radicais livres e atua na cicatrização de feridas, já que ele é necessário para a formação de colágeno.Modo de usar1 comprimido por dia.",13.22,10.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Puran T4 175Mcg 30Comprimidos,7897595901576,AVENTIS - OL,,33.09,33.09,,Santo Remedio,Sudeste,Sao Paulo
Lavitan Vitamina D 1.000UI 30 Comprimidos,7897947616387,CIMED,"Lavitan Vitamina D é um suplemento alimentar formulado com vitamina D indicado para auxiliar no funcionamento do sistema imune, na formação de ossos e dentes e muscular. Lavitan Vitamina D3 contribui para o bom funcionamento do sistema imunológico, saúde muscular, dentes e ossos fortes. Sem glúten, zero calorias e zero lactose.",25.6,25.6,,Santo Remedio,Sudeste,Sao Paulo
Maxsulid 400Mg 10Comprimidos,7897322701738,HYPERMARCAS FARMASA,,47.62,47.62,,Santo Remedio,Sudeste,Sao Paulo
Glifage XR 1000Mg 30Comprimidos,7891721022579,MERCK,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",54.96,49.49,10.0%,Santo Remedio,Sudeste,Sao Paulo
Dorflex Gotas 20Ml,7891058009458,AVENTIS - OL,,21.3,21.3,,Santo Remedio,Sudeste,Sao Paulo
Bisolvon Xarope Expectorante Adulto 120Ml,7891058021610,AVENTIS - OL,,34.66,32.7,6.0%,Santo Remedio,Sudeste,Sao Paulo
Biozinc Kids Suspensão 75Ml,7896658026850,ACHE,,44.78,44.78,,Santo Remedio,Sudeste,Sao Paulo
Sonridor CAF 2Comprimidos,7896015517106,GLAXO SMITHKLINE - OTC,"Sonridor Caf® é um analgésico e antipirético, sendo indicado para o alívio da febre e da dor de intensidade leve a moderada, incluindo dor de cabeça, enxaqueca, dor músculo-esquelética, cólicas menstruais, dor de garganta, dor de dente, dor pósprocedimentos odontológicos, dor e febre após vacinação, e dor de osteoartrite.",8.96,8.96,,Santo Remedio,Sudeste,Sao Paulo
Predsim 20Mg 20 Capsulas,7891142200143,MANTECORP/FARMASA - OL,"Predsim é indicado como agente anti-inflamatório e imunossupressor em patologias cujos mecanismos fisiopatológicos envolvam processos inflamatórios e/ou autoimunes; para o tratamento de condições endócrinas (glândulas); e em composição de esquemas terapêuticos em algumas neoplasias. 

Para que serve: Indicado como agente anti-inflamatório e imunossupressor em patologias.PREDSIM 20MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.VENDA SOB PRESCRIÇÃO MÉDICA.",70.28,70.28,,Santo Remedio,Sudeste,Sao Paulo
Nivux 12Comprimidos,7894916513661,EMS,,69.91,69.91,,Santo Remedio,Sudeste,Sao Paulo
Nistatina+Óxido de Zinco Pomada 60g Medley,7896422519229,MEDLEY - GEN,"A indicação principal desta pomada é para assaduras de bebês, principalmente relacionadas ao uso de fraldas. Além dessa indicação, a pomada de nistatina + óxido de zinco pode ser usada em crianças maiores e adultos, no tratamento de irritações na região dos órgãos genitais e das nádegas, entre os dedos, nas axilas, sob os seios ou em outras áreas da pele que sofrem atrito.",29.73,25.04,16.0%,Santo Remedio,Sudeste,Sao Paulo
Tylenol 750Mg 10Comprimidos,7891010246235,J&J - OL,"TYLENOL® 750mg é um analgésico indicado para o alívio temporário da dor leve a moderada, como aquelas associadas a gripes, resfriados, artrites e cólicas, e para redução da febre. A embalagem contém 20 comprimidos, contendo 750mg de paracetamol cada.",24.49,24.39,0.0%,Santo Remedio,Sudeste,Sao Paulo
Aradois 50Mg 30Comprimidos,7896112486787,BIOLAB SANUS,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",57.57,10.99,81.0%,Santo Remedio,Sudeste,Sao Paulo
Nebacetin Pomada 15G,7896094922105,HYPERMARCAS-DM,"Este medicamento é indicado para o tratamento de infecções da pele e/ou de mucosas, causadas por diferentes bactérias, como por exemplo: nas “dobras” da pele, ao redor dos pelos, na parte de fora da orelha, nos furúnculos, nas lesões com pus, na acne infectada, nas feridas abertas (como úlceras na pele) e nas queimaduras de pele.Também é indicado para prevenir infecções de pele e/ou de mucosas após ferimentos, cortes (inclusive de cirurgias) e queimaduras pequenas.Este medicamento contém dois antibióticos, a neomicina e a bacitracina zíncica, que juntos inibem o crescimento de vários tipos de bactérias, principalmente as que costumam causar infecções de pele e de mucosas. Por isto, este medicamento é eficaz para tratar e para prevenir infecções de pele e de mucosas.Os efeitos deste medicamento começam logo após sua aplicação. Na maioria dos casos, pode-se observar a melhora da lesão cerca de dois ou três dias após o início do tratamento. Contudo, a resposta ao tratamento depende, dentre outros fatores, do tamanho e tipo da lesão e da defesa do organismo do paciente. Caso não seja observada uma melhora, informe seu médico.",25.12,24.08,4.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato de Fexofenadina 120mg 10 Comprimidos Cimed,7896523220291,CIMED,"Esta indicado para o alívio das manifestações alérgicas tais como: rinite alérgica incluindo espirros, obstrução nasal (nariz entupido); prurido (coceira) no nariz, no palato (céu da boca), na garganta e nos olhos; coriza (nariz escorrendo); conjuntivite alérgica com sintomas de lacrimejamento e vermelhidão dos olhos; febre do feno (causada pelo pólen de algumas plantas); alergias da pele como os da urticária (erupções avermelhadas na pele que causam coceira).",20.62,20.62,,Santo Remedio,Sudeste,Sao Paulo
Clenil A 10 Flaconetes 2Ml,7896672202681,FARMALAB,,88.4,88.4,,Santo Remedio,Sudeste,Sao Paulo
Lakesia Solução Antimicotica Iodo 30Ml,7898949409458,GENOMMA,,50.12,50.12,,Santo Remedio,Sudeste,Sao Paulo
Moliéri 30 21Comprimidos,7891317010119,EUROFARMA LABORATÓRIOS S.A,,69.83,56.79,19.0%,Santo Remedio,Sudeste,Sao Paulo
Naridrin Adulto Solução Nasal 15ml,7896004803456,EMS,,23.43,15.22,35.0%,Santo Remedio,Sudeste,Sao Paulo
"Brasart HCT 320mg/12,5mg 30 Comprimidos",7894916509084,SIGMA PHARMA,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",95.15,82.16,14.0%,Santo Remedio,Sudeste,Sao Paulo
Sany D 50.000UI 8Comprimidos,7896658036293,ACHE,,134.55,134.55,,Santo Remedio,Sudeste,Sao Paulo
Tamisa 20 21Drageas,7891317465049,EUROFARMA LABORATÓRIOS S.A,,37.58,32.19,14.0%,Santo Remedio,Sudeste,Sao Paulo
Livalo 4Mg 30Comprimidos,7896112405870,BIOLAB SANUS,,249.95,227.93,9.0%,Santo Remedio,Sudeste,Sao Paulo
"Elani 28 3Mg+0,03Mg 28Comprimidos",7896094207516,LIBBS,,91.56,74.48,19.0%,Santo Remedio,Sudeste,Sao Paulo
Diclofenaco de Sódio 100mg 10 Comprimidos EMS,7896004706665,EMS GENÉRICO,,33.3,19.0,43.0%,Santo Remedio,Sudeste,Sao Paulo
Meloxicam 15mg 10 Comprimidos EMS,7896004710679,EMS GENÉRICO,,39.09,34.17,13.0%,Santo Remedio,Sudeste,Sao Paulo
Kaloba Solução com 50ml,7896641804397,NYCOMED - OL,,152.09,152.09,,Santo Remedio,Sudeste,Sao Paulo
Sany D 50.000UI 8Capsulas,7896658036804,ACHE,"Sany D (colecalciferol) é um medicamento à base de vitamina D3 (colecalciferol), indicado para pacientes que apresentam insuficiência e deficiência de vitamina D. Pode ser utilizado na prevenção e tratamento auxiliar na desmineralização óssea, do raquitismo, osteomalacia e prevenção no risco de quedas e fraturas.",132.0,132.0,,Santo Remedio,Sudeste,Sao Paulo
Novanlo 5Mg 30Comprimidos,7896112422211,BIOLAB,,153.18,140.42,8.0%,Santo Remedio,Sudeste,Sao Paulo
Desloratadina 5mg 30 Comprimidos Nova Quimica,7895296045063,NOVA QUIMICA,"Desloratadina é indicado para o alívio dos sintomas associados à rinite alérgica, como: coriza (corrimento nasal), espirros e prurido nasal (coceira no nariz), ardor e prurido ocular (coceira nos olhos), lacrimejamento, prurido do palato (coceira no céu da boca) e tosse. 
Os sinais e sintomas oculares e nasais são rapidamente aliviados após a administração oral do produto. Este medicamento é também indicado para o alívio dos sinais e sintomas de urticária e outras alergias da pele.

DESLORATADINA 5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.

VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99.",139.6,49.1,65.0%,Santo Remedio,Sudeste,Sao Paulo
Colírio Moura Brasil 20Ml,7891058020316,AVENTIS - OL,"O que é:Os componentes da fórmula de Colírio Moura Brasil possuem ação vasoconstritora (contrai os vasos sanguíneos) e adstringente ocular, descongestionando os olhos vermelhos e aliviando as irritações nos olhos. Tempo médio de início de ação Colírio Moura Brasil possui resposta inicial para descongestionante tópico ocular a partir de 5 minutos.Para que serve:Colírio Moura Brasil é destinado ao tratamento das irritações nos olhos causadas por poeira, vento, calor, fumaça, gases irritantes, luz e corpos estranhos.Modo de usar:Utilizar 1 ou 2 gotas sobre o olho afetado até 4 vezes ao dia.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. MOURA BRASIL É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE O MÉDICO E O FARMACÊUTICO. LEIA A BULA.",20.44,20.18,1.0%,Santo Remedio,Sudeste,Sao Paulo
Euthyrox 100Mcg 50Comprimidos,7891721014239,MERCK,,48.25,41.0,15.0%,Santo Remedio,Sudeste,Sao Paulo
Histamin 10mg Creme 30g,7896714226033,NEO QUIMICA,,21.63,16.3,25.0%,Santo Remedio,Sudeste,Sao Paulo
GROW VIT BB 20ML,7898495609326,CIFARMA MEDICAMENTOS,,40.99,40.99,,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 5mg 30 Comprimidos Cimed,7896523227450,CIMED,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",161.39,26.26,84.0%,Santo Remedio,Sudeste,Sao Paulo
Mobility Oscal D 400Mg 60Comprimidos,7891058002336,SANOFI,"Mobility Os-cal D 500mg/400UI c/ 60 Comprimidos - Suplemento mineral e vitamínico indicado na prevenção ou no tratamento auxiliar na desmineralização (perda ou diminuição de constituintes minerais de organismos e tecidos individuais, especialmente do osso) óssea pré e pós menopausal (última menstruação) - Vitamina D.",112.65,112.65,,Santo Remedio,Sudeste,Sao Paulo
Tamarine Zero Açúcar Geleia 250 g,7897322709802,MANTECORP/FARMASA - OL,"O Tamarine Geléia Zero Açúcar é indicado para o tratamento sintomático de intestino preso, das constipações primárias e secundárias. 
Sua apresentação em geleia e seu gosto agradável tornam mais fáceis sua ingestão. A concentração de Tamarine Geléia melhora a ação laxativa e potencialização do efeito, sem comprometer o perfil de segurança do medicamento, proporcionado uma maior comodidade posológica.

SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. TAMARINE É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE O MÉDICO E O FARMACÊUTICO. LEIA A BULA.",116.38,111.62,4.0%,Santo Remedio,Sudeste,Sao Paulo
Neovite Max 60Capsulas,7896046304133,BAUSCH & LOMB,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",233.6,189.52,19.0%,Santo Remedio,Sudeste,Sao Paulo
Clavulin Bd 875Mg 14Comprimidos,7896015510022,GLAXO - OL FARMA,,149.05,104.86,30.0%,Santo Remedio,Sudeste,Sao Paulo
Ômega 3 Natulab 1000mg 120 Cápsulas,7899898601207,NATURELIFE,,51.15,51.15,,Santo Remedio,Sudeste,Sao Paulo
Gynotran Ovulo Vaginal 7 Unidades,7908134200040,EXELTIS,,116.83,104.33,11.0%,Santo Remedio,Sudeste,Sao Paulo
Lavitan A-Z Mulher com 60 Comprimidos,7897947606500,CIMED,,27.66,27.66,,Santo Remedio,Sudeste,Sao Paulo
PATZ 5MG 60CPR SL,7894916515979,EMS PRESCRIÇÃO,,202.15,151.13,25.0%,Santo Remedio,Sudeste,Sao Paulo
PEPSAMAR 10CPR,7891058019679,HYPERA,,6.53,6.53,,Santo Remedio,Sudeste,Sao Paulo
Cloridrato de Ciprofloxacino 500mg 14 Comprimidos Neo Química,7896714221380,NEO QUIMICA - GENERICOS,,54.39,25.28,54.0%,Santo Remedio,Sudeste,Sao Paulo
Ster 10Mg/Ml Suspensão Oftalmica 5Ml,7896006290988,GENON,,31.92,31.92,,Santo Remedio,Sudeste,Sao Paulo
Boston Simplus Solução Multiação 120ml,0310119052440,BAUSCH & LOMB,"Boston Simplus Bausch Lomb 120ml é uma solução multiação para limpeza, enxágüe, desinfecção, remoção de proteínas, conservação e umidificação de lentes de contato rígidas. Seu sistema removedor de proteínas remove sujeiras e depósitos eliminando a necessidade de uso de um limpador enzimático, trazendo maior conveniência, conforto e nitidez visual.",98.3,98.3,,Santo Remedio,Sudeste,Sao Paulo
Predsim 3 Mg/ml Solução Oral 100 Ml,7891142177155,MANTECORP/FARMASA - OL,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",61.46,61.46,,Santo Remedio,Sudeste,Sao Paulo
Revoc 50Mg 30Comprimidos Revestidos,7891158101656,ABBOTT,,120.39,104.57,13.0%,Santo Remedio,Sudeste,Sao Paulo
"Puran T4 62,5 mcg (30 Comprimidos)",7891058003579,AVENTIS - OL,"Para que serve o Puran T4?Este medicamento é destinado à:Terapia de reposição ou suplementação hormonal (de hormônio) em pacientes com hipotireoidismo (produção insuficiente de hormônio pela glândula tireoide) de qualquer causa (exceto no hipotireoidismo transitório, durante a fase de recuperação de tireoidite subaguda-doença inflamatória da glândula tireoide). Nesta categoria incluem-se: cretinismo (condição que ocorre na infância ou na fase de amamentação devido à deficiência de hormônios da tireoide na fase fetal), mixedema (associado ao hipotireoidismo, é caracterizado pela pele seca e áspera, lábios inchados e nariz espessado) e hipotireoidismo comum em pacientes de qualquer idade (crianças, adultos e idosos) ou fase (por exemplo, gravidez); hipotireoidismo primário resultante de redução da função da tireoide; diminuição primária da tireoide; remoção total ou parcial da glândula tireoide, com ou sem bócio (aumento perceptível da tireoide); hipotireoidismo secundário (da glândula hipófise) ou terciário (do hipotálamo, que é uma região do cérebro que controla o sistema endócrino).Supressão do TSH hipofisário (hormônio estimulante da tireoide ou tireotropina) no tratamento ou prevenção dos vários tipos de bócios eutireoidianos (bócio decorrente do aumento de TSH), inclusive nódulos tireoidianos, tireoidite linfocítica subaguda ou crônica (tireoidite de Hashimoto/tireoidite autoimune) e carcinomas foliculares e papilares (tumores malignos) da tireoide dependentes de tireotropina.Ao diagnóstico nos testes de supressão, auxiliando no diagnóstico da suspeita de hipertireoidismo (produção excessiva de hormônio pela glândula tireoide) leve ou de glândula tireoide autônoma.Como usar o Puran T4?USO ORAL.USO ADULTO E PEDIÁTRICO.As doses administradas de PURAN T4 variam de acordo com o grau de hipotireoidismo, a idade do paciente e a tolerabilidade individual. A fim de se adaptar a posologia, é recomendável antes de iniciar o tratamento efetuar as dosagens do (T3), (T4) e do TSH.Você deve tomar os comprimidos com líquido, por via oral.Uso adultoHipotireoidismo:PURAN T4 deve ser administrado em doses baixas (50 mcg/dia) que serão aumentadas de acordo com as condições cardiovasculares do paciente.Dose inicial:50 mcg/dia, aumentando-se 25 mcg a cada 2 ou 3 semanas até que o efeito desejado seja alcançado. Em pacientes com hipotireoidismo de longa data, particularmente com suspeita de alterações cardiovasculares, a dose inicial deverá ser ainda mais baixa (25 mcg/dia).Manutenção:recomenda-se 75 a 125 mcg diários sendo que alguns pacientes, com má absorção, podem necessitar de até 200 mcg/dia. A maioria dos pacientes não exige doses superiores a 150 mcg/dia. A falta de resposta às doses de 200 mcg/dia sugere má absorção, não obediência ao tratamento ou erro diagnóstico.Supressão do TSH (câncer de tireoide) / nódulos / bócios eutireoidianos em adultos:Dose supressiva média de levotiroxina (T4): 2,6 mcg/kg/dia, durante 7 a 10 dias. Essa dose geralmente é suficiente para obter normalização dos níveis de T3 e T4 no organismo e falta de resposta à ação do TSH. A levotiroxina sódica deve ser empregada com cautela em pacientes com suspeita de glândula tireoide independente, considerando que a ação dos hormônios exógenos (de origem externa ao organismo) pode somar-se aos hormônios de fonte endógena (originários do organismo).Uso pediátricoNo recém-nascido, a posologia inicial deverá ser de 5 a 6 mcg/kg/dia em função da dosagem dos hormônios circulantes. Na criança a posologia deve ser estabelecida em função dos resultados das dosagens hormonais e em geral é de 3 mcg/kg/dia.Os comprimidos de PURAN T4 devem ser ingeridos com estômago vazio (1 hora antes ou 2 horas após o café da manhã ou ingestão de alimento), a fim de aumentar sua absorção.Para as crianças com dificuldades de ingerir os comprimidos, estes devem ser triturados e dissolvidos em pequena quantidade de água. Esta suspensão pode ser administrada em colher ou conta-gotas. Os comprimidos triturados podem também ser administrados com pequenas quantidades de alimentos (cereais, sucos, etc.). Esta suspensão preparada não pode ser guardada para uso posterior.Não há estudos dos efeitos de PURAN T4 administrado por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral, conforme recomendado pelo médico.Pacientes idososNo idoso, a integridade do sistema cardiovascular pode estar comprometida. Por isso, neste paciente a terapia com PURAN T4 deve ser iniciada com doses baixas, como por exemplo: 25-50 mcg/dia.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico.Quando não devo usar o Puran T4?PURAN T4 não deve ser utilizado em caso de: hipersensibilidade (alergia) aos componentes da fórmula, infarto do miocárdio recente, tireotoxicose não tratada (síndrome clínica, não tratada, resultante de níveis elevados de hormônio da tireoide), insuficiência suprarrenal (da glândula localizada sobre os rins) descompensada e hipertireoidismo não tratado.Não há contraindicação relativa a faixas etárias.PURAN T4 125MCG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",18.57,16.06,14.0%,Santo Remedio,Sudeste,Sao Paulo
Propionato de Clobetasol Creme 30g Neo Química,7896714209852,NEO QUIMICA - GENERICOS,,25.52,17.66,31.0%,Santo Remedio,Sudeste,Sao Paulo
Inilok 40Mg 60Comprimidos,7896637031516,APSEN FARMACÊUTICA S/A,"Indicação: Inilok 40mg é indicado para o tratamento das esofagites de refluxo moderadas ou graves e dos sintomas de refluxo gastroesofágico (azia e regurgitação). Também é indicado para tratamento intermitente de sintomas, de acordo com a necessidade.

Posologia: A posologia habitualmente recomendada é de um comprimido de 40 mg ao dia, antes, durante ou após o café da manhã, a menos que seja prescrito de outra maneira pelo seu médico. A duração do tratamento fica a critério médico e depende da indicação. Na maioria dos pacientes, o alívio dos sintomas é rápido e, em geral, um período de tratamento de 4 a 8 semanas é suficiente. Inilok destina-se a uso exclusivamente oral e os comprimidos devem ser ingeridos inteiros com um pouco de líquido. Este medicamento não deve ser partido, aberto ou mastigado.

Quando não devo usar este medicamento: Inilok deve ser usado por pacientes que apresentem alergia (hipersensibilidade) conhecida ao pantoprazol ou a quaisquer dos componentes da fórmula, ou a benzimidazóis substituídos. Este medicamento é contraindicado para menores de 18 anos. Este medicamento não deve ser utilizado por mulheres grávidas ou durante a amamentação sem orientação médica ou do cirurgião-dentista.

INILOK 40MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.
VENDA SOB PRESCRIÇÃO MÉDICA.",126.69,105.51,17.0%,Santo Remedio,Sudeste,Sao Paulo
Oxalato de Escitalopram 20mg 30 Comprimidos Medley,7896422525466,MEDLEY - GEN,,117.67,67.11,43.0%,Santo Remedio,Sudeste,Sao Paulo
Seakalm 600mg 20 Comprimidos,7899470807652,NATULAB,"É indicado para o tratamento da ansiedade leve, como estados de irritabilidade, agitação nervosa, tratamento de insônia e desordens da ansiedade",47.14,47.14,,Santo Remedio,Sudeste,Sao Paulo
