Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
SUSTAGEN MORANGO LATA 400G,cod. do produto: 38765,"R$ 58,73","R$ 62,90",7%,"Leite desnatado, sacarose, sólidos de xarope de milho, leite integral, fosfato de magnésio, ascorbasto de sódio, sulfato ferroso, sulfato de zinco, niacinamida, inositol, iodeto de potássio, acetato de dl-alfa tocoferol, sulfato de manganês, sulfato cúprico, acetato de vitamina a, fitomenadiona, pantotenato de cálcio, cloridrato de piridoxina, cloridrato de tiamina, cianocobalamina (vitamina b12), riboflavina, ácido fólico e biotina.
Contém aroma natural reforçado de morango, estabilizante carragena e corantes artificiais eritrosina laca de alumínio e eritrosina.",Mead Johnson
CREME PREVENTIVO DE ASSADURAS BARUEL BABY 90G,cod. do produto: 54321,"R$ 15,96","R$ 19,10",16%,O creme preventivo de assaduras baruel baby é indicado para previnir assaduras em seu bebê.,Baruel
SUSTAGEN CHOCOLATE LATA 400G,cod. do produto: 38763,"R$ 52,21","R$ 62,90",17%,"Leite desnatado, sacarose, sólidos de xarope de milho, leite integral, fosfato de magnésio, ascorbasto de sódio, sulfato ferroso, sulfato de zinco, niacinamida, inositol, iodeto de potássio, acetato de dl-alfa tocoferol, sulfato de manganês, sulfato cúprico, acetato de vitamina a, fitomenadiona, pantotenato de cálcio, cloridrato de piridoxina, cloridrato de tiamina, cianocobalamina (vitamina b12), riboflavina, ácido fólico e biotina.
Contém aroma natural reforçado de morango, estabilizante carragena e corantes artificiais eritrosina laca de alumínio e eritrosina.",Mead Johnson
SUSTAGEN BAUNILHA LATA 400G,cod. do produto: 38764,"R$ 52,21","R$ 62,90",17%,"Leite desnatado, sacarose, sólidos de xarope de milho, leite integral, fosfato de magnésio, ascorbasto de sódio, sulfato ferroso, sulfato de zinco, niacinamida, inositol, iodeto de potássio, acetato de dl-alfa tocoferol, sulfato de manganês, sulfato cúprico, acetato de vitamina a, fitomenadiona, pantotenato de cálcio, cloridrato de piridoxina, cloridrato de tiamina, cianocobalamina (vitamina b12), riboflavina, ácido fólico e biotina.
Contém aroma natural reforçado de morango, estabilizante carragena e corantes artificiais eritrosina laca de alumínio e eritrosina.",Mead Johnson
SABONETE LÍQUIDO PROTEX BABY CABEÇA AOS PÉS,cod. do produto: 53891,"R$ 25,26","R$ 28,70",12%,"O novo sabonete líquido Cabeça aos Pés Protex Baby possui fórmula suave, livre de álcool, parabenos e corantes, é hipoalergênica e não arde os olhos. O novo sabonete líquido Cabeça aos Pés Protex Baby Proteção Delicada mantém a barreira de proteção natural da pele do seu bebê garantindo uma pele saudável e protegida.",Colgate-Palmolive
CREME PREVENTIVO CONTRA ASSADURAS HIPOGLÓS AMÊNDOAS NUTRE E RECUPERA 40 gramas,cod. do produto: 52821,"R$ 22,24","R$ 22,99",3%,"Pomada Hipoglós Amêndoas com óxido de zinco, vitaminas A, E, lanolina e óleo de amêndoas para proteger a pele do bebê das assaduras. É fácil de usar, espalhar, limpar e remover.",
KIT LENÇO UMEDECIDO PAMPERS ALOE VERA L4P3 COM 48 UNIDADES CADA,cod. do produto: 52705,"R$ 46,34","R$ 55,30",16%,"Indicado para higienizar o corpo de bebês e crianças de forma fácil e prática, o Kit Lenços Umedecidos Pampers contém:",Pampers
CETRILAN CREME COM 120G,cod. do produto: 54356,"R$ 54,46","R$ 63,10",14%,"Cetrilan é um creme protetor contra assaduras fácil de aplicar e de remover. Possui ingredientes ativos suaves, com ação anti-inflamatória e que protegem a pele delicada dos bebês. É livre de parabenos, corantes, sulfato e álcool etílico.",
LENÇOS UMEDECIDOS FEELCLEAN BABY COM 50 UNIDADES,cod. do produto: 50470,"R$ 11,91","R$ 14,00",15%,Lencos umedecidos feelclean 50 unidades baby toalhinhas / nao contem alcool etilico / com tampa fliptop com aloe vera e lanolina hidrata e protege / toalhinhas mais espessas e macias.,Feelclean
FÓRMULA INFANTIL NESTLÉ NESTOGENO 1 COM 400G,cod. do produto: 4199,"R$ 34,40","R$ 36,00",4%,"Nestogeno 1 é uma fórmula para complementar a nutrição dos bebês de 0 a 6 meses. Rico em prebióticos (fundamentais para a manutenção microbiota do intestino, do sistema imune e do organismo como um todo), Nestogeno 1 também é fonte de proteínas, ferro, vitaminas e minerais.",
LENÇO UMEDECIDO BEPANTOL BABY COM 96 UNIDADES,cod. do produto: 55349,"R$ 25,08","R$ 29,90",16%,"Os Lenços Umedecdos Bepantol Baby são toalhas umedecidas contendo Pro-Vitamina B5, que limpam a pele delicada do bebê ao mesmo tempo que a hidrata, de fora para dentro.",
SHAMPOO PALMOLIVE  KIDS MINIONS 350ML,cod. do produto: 52893,"R$ 13,79","R$ 16,00",14%,"O Shampoo Palmolive Kids Minions possui ingredientes que não irritam a pele nem os olhos, testado dermatologicamente e oftalmologicamente.",Colgate-Palmolive
CREME CONTRA ASSADURA HIPOGLÓS TRANSPARENTE COM 120G,cod. do produto: 52961,"R$ 57,59","R$ 71,99",20%,"O que é: Onovo Hipoglós Transparente forma uma barreira multi-reparadora, enriquecida com lanolina e vitaminas, super eficaz na proteção e hidratação, auxiliando na regeneração natural da pele.Sua fórmula exclusiva forma uma segunda pele protetora, promovendo alivio imediato e fortalecendo a defesa natural da pele.",
MÁSCARA DE TRATAMENTO SEDA BY NIINA SECRETS COLÁGENO E VITAMINA C COM 300G,cod. do produto: 54845,"R$ 9,80","R$ 14,60",33%,"Descubra os ingredientes famosos no cuidado da pele, agora em uma nova linha feita com uma combinação de COLÁGENO E VITAMINA C, co-criada com a experta em make up e cabelo Niina Secrets, para um cuidado profundo do seu cabelo.",Seda
LOÇÃO HIDRATANTE INFANTIL GRANADO BEBÊ TRADICIONAL COM 120ML,cod. do produto: 55113,"R$ 17,80","R$ 21,30",16%,"Hidratante Tradicional enriquecido com manteiga de karité, PCA-NA, óleo de girassol e cera vegetal de candelila (que substitui a cera de abelha). 0% parabenos, corantes, óleo mineral ou ingredientes de origem animal.",
SHAMPOO SEDA JUNTINHOS MOANA CACHOS ENCANTADOS COM 300ML,cod. do produto: 55464,"R$ 8,17","R$ 9,89",17%,O Seda Juntinho Cachos Encantados é um shampoo infantil que traz para a hora do banho as aventuras das personagens mais amadas pelas crianças.,Seda
SHAMPOO JOHNSON’S BABY GOTAS DE BRILHO 400ML,cod. do produto: 45384,"R$ 27,11","R$ 30,39",11%,"O shampoo johnson’s baby gotas de brilho conta com fórmula anti-frizz, ph balanceado e fragrância sofisticada. É dermatologicamente testado e hipoalergênico. Possui óleo de argan e proteínas da seda. Devido à tecnologia gotas de brilho proporciona resultado comparável com produtos do universo adulto, mas com a suavidade e segurança de um produto infantil. O shampoo johnson’s baby gotas de brilho é suave para o couro cabeludo e limpa os fios de forma eficaz sem deixa-los ressecados, proporcionando uma sensação de cabelos macios e soltos desde o primeiro uso.",
CONDICIONADOR SEDA JUNTINHOS MOANA CACHOS ENCANTADOS COM 300ML,cod. do produto: 55472,"R$ 9,84","R$ 10,99",10%,"O Seda Juntinho Cachos Encantados é um condicionador infantil que traz para a hora do banho as aventuras das personagens mais amadas pelas crianças. Seu uso hidrata, ajuda no desembaraço e define os cachinhos, além de deixá-los com um cheirinho delicioso.",Seda
REFIL PARA REPELENTE DE TOMADA SBP CHEIRO SUAVE COM 2 UNIDADES DE 35ML,cod. do produto: 52756,"R$ 19,90","R$ 28,50",30%,"O Repelente de Tomada SBP é um aparelho elétrico que, quando conectado à energia, protege o ambiente contra mosquitos e pernilongos, incluindo o mosquito da Dengue, Zika e Chikungunya.",
PROTETOR SOLAR NIVEA SUN KIDS SENSITIVE E PURE FPS 60 120ML,cod. do produto: 42941,"R$ 67,70","R$ 90,40",25%,"PROTETOR SOLAR NIVEA SUN KIDS SENSITIVE E PURE FPS 60 120ML em condições especiais é no Drogão Super!
O protetor solar fps 60 nivea sun kids foi formulado para minimizar o possível surgimento de alergias na pele.
Não contém perfume, corantes e conservantes.
Sua fórmula possui proteção contra raios uva/uvb.
É hipoalergênico.
O Protetor solar fps 60 nivea sun kids oferece proteção solar avançada e cuidado com a pele sensível da criança.",
ESCOVA DE DENTE INFANTIL CURAPROX BABY SUPER SOFT 4260 COM 1 UNIDADE CORES VARIADAS,cod. do produto: 55110,"R$ 35,41","R$ 42,30",16%,A imagem do produto é meramente ilustrativa. Produto sem escolha de cor. Será enviada a cor disponível no momento da compra.,Curaprox
KIT SABONETE EM BARRA POM POM LOÇÃO HIDRATANTE COM 5 UNIDADES DE 70G CADA,cod. do produto: 56788,"R$ 17,95","R$ 21,40",16%,O Sabonete Pom Pom Loção Hidratante é um sabonete infantil que proporciona brilho e maciez. Minimiza o efeito ressecado da pele do seu bebê. Contém lanolina. Hipoalergênico.,Pompom
COMPOSTO LÁCTEO NINHO 3+ ZERO LACTOSE COM 700G,cod. do produto: 55832,"R$ 64,16","R$ 67,70",5%,"Ninho Fases Zero Lactose é um composto lácteo com óleos vegetais e fibras, indicado especialmente para as crianças em idade pré-escolar que possuem restrição à lactose. Contém 21 vitaminas e minerais essenciais para o desenvolvimento saudável dos pequenos, sendo fonte de cálcio, zinco e ferro. Consulte o pediatra para melhor adequar o uso do Ninho Fases Zero Lactose à alimentação do seu filho ou filha.",
PROTETOR SOLAR CORPORAL INFANTIL NIVEA SUN KIDS BRINCANDO NA ÁGUA FPS 60 COM 150ML,cod. do produto: 40680,"R$ 67,70","R$ 87,50",23%,"NIVEA SUN Kids Brincando na Água é um protetor solar especialmente formulado para a pele delicada das crianças.Indicado para rosto e corpo para bebês a partir de seis meses e crianças.Alta proteção contra os raios UVA e UVB (FPS 60).Indicado para todo tipo de pele, até mesmo as mais sensíveis.Muito resistente à água do mar e piscina.",
PROTETOR SOLAR INFANTIL SUNDOWN KIDS FPS60 COM 120ML,cod. do produto: 28471,"R$ 60,90","R$ 79,99",24%,"PROTETOR SOLAR INFANTIL SUNDOWN KIDS FPS 60 120ML em condições especiais é no Drogão Super!
O protetor solar kids fps 60, foi desenvolvido para resistir à água e suor por até seis horas.
Hidrata profundamente e protege a pele imediatamente após ser aplicado.
Sua fórmula é indicada para peles excessivamente sensíveis ao sol e protege contra queimaduras.
É necessário aplicar antes de se expor ao sol e reaplicar depois de nadar, enxugar a pele com toalha, se houver transpiração intensa e após longo período de exposição solar.
Possui consistência leve que permite fácil aplicação.
O Protetor solar kids fps 60, possui fórmula com ativos de soja e camomila que auxiliam na diminuição do risco de alergia na pele delicada da criança.
Fórmula equilibrada garante proteção uva e uvb, com mesmo nível de proteção até a próxima aplicação.",Sundown
SHAMPOO SEDA JUNTINHOS FRONZEN BRILHO ENCANTADO COM 300ML,cod. do produto: 55465,"R$ 8,17","R$ 9,89",17%,"Novo Seda Juntinhos traz para a hora do banho as aventuras das personagens mais amadas pelas crianças. É diversão para os pequenos e cuidado com seus cabelos, já que o Shampoo Seda Juntinhos limpa e dá mais força e brilho aos fios, deixando-os mais fáceis de pentear e com um cheirinho delicioso!",Seda
GEL DE BANHO MUSTELA BEBÊ CORPO E CABELO 500ML,cod. do produto: 1013780,"R$ 73,30","R$ 97,50",25%,"Gel Mustela Bebê é um sabonete líquido sem sabão, feito com 93% de ingredientes naturais, ideal para banhar o seu bebê de forma mais natural e saudável desde o nascimento. Essa é uma fase de cuidados que envolve muito amor e carinho. Por isso, Mustela desenvolveu esse produto para tornar os momentos de banho com o seu bebê ainda mais especiais. Gel Mustela Bebê limpa a pele e os cabelos dele de forma suave e delicada, com fácil enxágue e sem irritar os olhos. E ainda deixa um cheirinho agradável de Mustela após o banho.",Mustela
GEL DENTAL COLGATE TEEN TITANS GO! MORANGO COM 60G,cod. do produto: 52856,"R$ 8,63","R$ 10,30",16%,"O Gel Dental Colgate Teen Titans Go! deixa os dentes saudáveis, possui um sabor delicioso e refrescante e vem com embalagem divertida com diferentes jogos na parte interna do cartucho. O Gel Dental Colgate Teen Titans Go! Oferece proteção contra cáries e fortalece o esmalte dos dentes deixando-os protegidos.",
SHAMPOO DE GLICERINA INFANTIL JOHNSONS BABY REGULAR HIPOALERGÊNICO 750ML,cod. do produto: 50281,"R$ 44,97","R$ 49,99",10%,O Johnson's Baby Neutro é um shampoo desenvolvido especialmente para bebês e crianças.,
