,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
3362,Medteste Influenza Ab,7908007900237.0,MEDLEVESOHN,,79.9,79.9,0,Drogaria Globo,Sudeste,São Paulo,508.0
3363,Tiras-testes de Glicose BG Star 50 Unidades,7891058018184.0,BGSTAR,A Aferição da glicose é fácil e pratica de usar. Indica exatamente a quantidade de açúcar no sangue.,93.99,93.99,0,Drogaria Globo,Sudeste,São Paulo,509.0
3364,Sérum Facial Hidraderm Ciclos Vitamina C com 30ml,7896902217744.0,HIDRADERM,"O Sérum de Vitamina C Hidraderm Ciclos é um gel de textura suave, que age na prevenção do envelhecimento facial. O produto revitaliza a pele, tem ação antioxidante, antissinais, clareadora e hidratante, proporcionando um cuidado intensivo diário com a pele. Sua fórmula conta com vitamina C estabilizada associada ao ácido hialurônico, promovendo ação mais eficiente na pele, além de ser livre de óleos, proporcionando rápida absorção. Assim como todos os produtos Farmax o Sérum de Vitamina C Farmax não passa por testes em animais durante seu processo de produção.",47.69,47.69,0,Drogaria Globo,Sudeste,São Paulo,510.0
3365,Pote Suplemento Whey Pro Sabor Chocolate 1kg,7898944774254.0,MAX TITANIUM,,116.99,116.99,0,Drogaria Globo,Sudeste,São Paulo,511.0
3366,Bico de Mamadeira Philips Avent Fluxo Variável Anti Cólica - SCF635/27,8710103881285.0,AVENT,"Com o bico Classic Philips AVENT, seu bebê pode controlar o fluxo do leite, ajudando a evitar amamentação em excesso e vazamento. Inovadora tecnologia Philips AVENT! Neste bico, o fluxo pode ser variado ao girar a mamadeira para alinhar as marcações I, II ou III do bico com o nariz do bebê . Praticidade para os pais, 3 fluxos em um só bico! Bico de silicone extra suave. Os bicos Philips AVENT se encaixam em qualquer mamadeira da linha, ativando a tecnologia AIRFLEX, que, segundo estudos clínicos, diminui cólicas e agitação do bebê.",41.69,41.69,0,Drogaria Globo,Sudeste,São Paulo,512.0
3367,Creme Dental Sensitive Pro Alívio Extreme 140g,7509546688022.0,COLGATE,Creme Dental Sensitive Pro Alívio Extreme 140g,17.29,17.29,0,Drogaria Globo,Sudeste,São Paulo,513.0
3368,Risedross 35mg 4 Comprimidos,7894916505178.0,RISEDROSS,Risedross (risedronato sódico) é destinado ao tratamento e prevenção da osteoporose (perda de material ósseo) em mulheres no período pós-menopausa com aumento no risco de fraturas.,74.03,55.31,25,Drogaria Globo,Sudeste,São Paulo,514.0
3369,Mag B 30comprimidos,7896637032575.0,MAG,Mag B é um suplemento alimentar que estimula a absorção do magnésio no organismo.,75.29,75.29,0,Drogaria Globo,Sudeste,São Paulo,515.0
3370,Mamadeira Kuka Natural Plus Branca Tamanho 1 70ml,7896000615077.0,KUKA BABY,,14.79,14.79,0,Drogaria Globo,Sudeste,São Paulo,516.0
3371,Creme Dental Sensodyne Original 90g,7896009419324.0,SENSODYNE,"O creme dental Sensodyne Original é um creme dental de uso diário, com uma fórmula de nitráto de potássio e flúor, diminui a atividade dos nervos sensoriais, aliviando a dor da sensibilidade.",15.99,15.99,0,Drogaria Globo,Sudeste,São Paulo,517.0
3372,Sérum Facial Sallve Antiacne 35g,7908335401161.0,Sallve,Sérum Facial Sallve Antiacne 35g,52.99,52.99,0,Drogaria Globo,Sudeste,São Paulo,518.0
3373,Protetor Solar Cetaphil Sun Lipossomal Spray FPS30 150ml,7897930775923.0,CETAPHIL,"Cetaphil Sun FPS 30 Spray Loção Lipossomal 150ml foi desenvolvido para face e corpo, recomendado para atividades ao ar livre. Sua fórmula Lipossomal permite uma distribuição homogênea dos filtros UV com fácil espalhabilidade e absorção imediata, garantindo alta proteção solar. Possui ação emoliente e garante 24 horas de hidratação. É muito resistente à água e resistente ao suor.",59.79,59.79,0,Drogaria Globo,Sudeste,São Paulo,519.0
3374,Sabonete Liquido Infantil Johnsons Baby Cabeça Pés 750Ml,7891010246204.0,J&J BABY,"O Sabonete Líquido da Cabeça aos Pés da Johnson?s Baby pode ser usado desde o primeiro banho do bebê. Seu alto teor de glicerina limpa suavemente, sem ressecar a pele delicada do recém-nascido. Contém fórmula exclusiva Chega de Lágrimas, que não irrita os olhos. Além disso, conta com pH neutro e ação hidratante.",67.29,67.29,0,Drogaria Globo,Sudeste,São Paulo,520.0
3375,Refrigerante Coca Cola Mini Pet Zero 250ml,,COCA COLA,"Coca Cola com sabor inconfundível e único, a Coca-Cola Original é o refrigerante mais consumido no mundo.",2.99,2.99,0,Drogaria Globo,Sudeste,São Paulo,521.0
3376,Máscara de Tratamento Dove Hidratação 10 em 1 270g,7891150094949.0,DOVE,Máscara de Tratamento Dove Hidratação 10 em 1 270g,41.99,41.99,0,Drogaria Globo,Sudeste,São Paulo,522.0
3377,Coltrax 4mg 20 Comprimidos,7891058006334.0,COLTRAX,Este medicamento é destinado ao tratamento de curto prazo das dores de contraturas musculares (contração ou espasmo do músculo que se acompanha de rigidez) e torcicolo (contração dos músculos do pescoço levando a posição viciosa da cabeça).,68.01,58.35,14,Drogaria Globo,Sudeste,São Paulo,523.0
3378,Shampoo Seda Detox 325ml,7891150037564.0,SEDA,"Seda Recarga Natural Pureza Detox é um Shampoo produzido com ingredientes naturais e refrescantes, para deixar os cabelos limpos, brilhantes, purificados e revigorados. Ideal para cabelos oleosos, é perfumado com uma leve mistura de notas herbais e sua fórmula é enriquecida com chá verde e extratos cítricos.",11.19,11.19,0,Drogaria Globo,Sudeste,São Paulo,524.0
3379,Caldê Mdk 1000UI 60 Comprimidos Revestidos,7896226109558.0,CALDE,Suplementação vitamínico-mineral em doenças crônicas; para prevenção do raquitismo e para prevenção e tratamento auxiliar na desmineralização óssea pré e pós-menopausal.,115.19,115.19,0,Drogaria Globo,Sudeste,São Paulo,525.0
3380,Diosmin SDU Sabor Laranja/Limão 15 Sachês 5G,7896658000843.0,DIOSMIN,"Diosmin é indicado no tratamento sintomático das varizes e de outros sintomas relacionados à Insuficiência Venosa Crônica como dor nas pernas, sensação de queimação, inchaços, etc. Diosmin é indicado no tratamento dos sintomas relacionados à insuficiência venosa do plexo hemorroidário (hemorroidas) como dor, inchaço local, sensação de queimação, sangramento.",95.83,88.16,8,Drogaria Globo,Sudeste,São Paulo,526.0
3381,Pilha Acalina Duracell Aa Quantum 2 Unidades,41333667003.0,DURACELL,"Baterias quânticas são ideais para uso em muitos dispositivos alimentados por bateria, incluindo: Eletrônicos portáteis Mouses sem fio Brinquedos Controles remotos Lanternas Calculadoras Relógios e Rádios Teclados e mais",23.59,23.59,0,Drogaria Globo,Sudeste,São Paulo,527.0
3382,Água Mineral Floratta Garrafa 500ml,7898994541738.0,FLORATTA,Água Mineral Floratta Garrafa 500ml,2.49,2.49,0,Drogaria Globo,Sudeste,São Paulo,528.0
3383,Mamadeira Lillo Evolution Silicone Azul 300ml,7896033212212.0,LILLO,Lillo A Mamadeira Super Evolution Divertida de 300ml na cor Azul da marca Lillo foi especialmente desenvolvida para gerar maior praticidade aos pais e conforto aos pequenos.,27.99,27.99,0,Drogaria Globo,Sudeste,São Paulo,529.0
3384,Difusor de Ambientes Granado Citronela 250ml,7896512919205.0,GRANADO,,117.19,117.19,0,Drogaria Globo,Sudeste,São Paulo,530.0
3385,Teste Covid 19 Antígeno Nasal Hecin,7898960950953.0,HECIN,,79.9,79.9,0,Drogaria Globo,Sudeste,São Paulo,531.0
3386,Kit Medidor de Glicose OneTouch Select Simple Monitor + 10 Tiras + 10 Lanc + Lancet + Cx Para Arm,353885007191.0,ONETOUCH,,35.99,35.99,0,Drogaria Globo,Sudeste,São Paulo,532.0
3387,Teste de Gravidez Digital Clearblue 1 Unidade,7506339305104.0,CLEARBLUE,"O teste de gravidez Clearblue é o único digital com indicador de semanas, com mais de 99% de precisão. Ele fornece respostas claras para quando você mais precisa.Não é necessária coleta de urina, e os resultados aparecem em menos de 5 minutos.",45.19,45.19,0,Drogaria Globo,Sudeste,São Paulo,533.0
3388,Absorvente Para Seios York Embalagem Econômica 30 Unidades,7896235353201.0,YORK,"A linha de Algodão York foi desenvolvida com a mais alta tecnologia e desempenho. Os produtos são compostos de manta 100% puro algodão, branco, hidrófilo e macio, alvejado com água oxigenada ao invés de solução a base de cloro para uma maior preservação do meio Ambiente.",13.29,13.29,0,Drogaria Globo,Sudeste,São Paulo,534.0
3389,Ciprofibrato 100mg Genérico Medley 30 Comprimidos,7891058001612.0,SANOFI- AVENTIS,"Ciprofibrato é indicado como adjunto à dieta e outros tratamentos não farmacológicos (por exemplo, exercício, redução de peso) nos seguintes casos: Tratamento de hipertrigliceridemia severa isolada; Hiperlipidemia mista quando a estatina ou outro tratamento eficaz são contraindicados ou não são tolerados.",57.91,23.51,59,Drogaria Globo,Sudeste,São Paulo,535.0
3390,Leite Ninho Instantâneo Fibras 750G,7891000285091.0,NINHO,"Com uma combinação de fibras e rico em vitaminas e minerais*, Ninho Fases 3+ possui nutrientes que ajudam a fortalecer as defesas naturais das crianças contribui para o crescimento e desenvolvimento adequados nessa fase.",49.99,49.99,0,Drogaria Globo,Sudeste,São Paulo,536.0
3391,Protetor Facial La Roche-Posay Effaclar Duo + FPS30 40ml,3337875549493.0,LA ROCHE POSAY,"O Cuidado Antiacne La Roche-Posay Effaclar Duo [+] foi desenvolvido especificamente para eliminar as marcas de acne na pele. Sua fórmula conta com ativos anti-inflamatórios e microesfoliantes, que diminuem as lesões e o excesso de oleosidade, além de manter a hidratação por 24 horas. Ele possui efeito matte, rápida absorção, textura não oleosa e não comedogênica.",186.29,186.29,0,Drogaria Globo,Sudeste,São Paulo,537.0
3392,Creme Dental Colgate Agnes 60g,7509546660561.0,COLGATE,Creme Dental Colgate Kids Agnes e foi desenvolvido para o cuidado oral das crianças trazendo proteção e diversão com sabor melancia.,9.29,9.29,0,Drogaria Globo,Sudeste,São Paulo,538.0
3393,Iogurte Yopro Doce de Leite Zero Lactose  250g,7891025115588.0,YOPRO,,,,0,Drogaria Globo,Sudeste,São Paulo,539.0
3394,"Diad 1,5Mg 1 Comprimido",7896523216812.0,DIAD,"Este medicamento é destinado à prevenção de gravidez, após uma relação sexual sem proteção por método contraceptivo, ou quando há suspeita de falha do método anticoncepcional rotineiramente utilizado.",21.29,5.27,75,Drogaria Globo,Sudeste,São Paulo,540.0
3395,Sinvastatina 20mg Biolab com 30comprimidos,7896112401384.0,SINVASTATINA,Sinvastatina é indicado para reduzir os riscos à saúde decorrentes das doenças cardiovasculares.,38.29,11.17,71,Drogaria Globo,Sudeste,São Paulo,541.0
3396,Ibuprofeno 400mg Genérico Neo Química 10 Comprimidos,7896714211275.0,IBUPROFENO,"Este medicamento é um antitérmico (reduz a febre) e analgésico (alivia as dores). O início de ação ocorre em
cerca de 15 a 30 minutos após sua administração oral e permanece por 4 a 6 horas.",25.19,17.54,30,Drogaria Globo,Sudeste,São Paulo,542.0
3397,Escova Dental Oral-B 40 Macia Antibacterias Leve 2 Pague 1,7501006731132.0,ORAL-B,"A escova Oral-B Pro-Saúde Antibacteriana possui cerdas CrissCross com Bac-Defense, uma defesa antibacteriana eficaz que ajuda a impedir o crescimento das bactérias na sua Escova Dental por até 90 dias.",18.49,18.49,0,Drogaria Globo,Sudeste,São Paulo,543.0
3398,Escova Dental Oral-B Indicator Plus 30 Macia Leve 2 Pague 1,7500435107754.0,ORAL-B,"A Escova Dental Oral-B Indicator possui cabeça com 30 cerdas macias que ajudam a remover as manchas dos dentes, previne o aparecimento de caries, a formação de placa, do tártaro e a gengivite.",18.39,18.39,0,Drogaria Globo,Sudeste,São Paulo,544.0
3399,Fralda Mamypoko Calça Tamanho P 24 Unidades,7898953823257.0,MAMYPOKO,"Seu bebê protegido e sequinho para crescer saudável e feliz A FRALDA-CALÇA MAMYPOKO REGULÁVEL EXG COM 15 protege contra vazamentos graças às exclusivas ondas de super absorção que absorvem o xixi imediatamente e reduzem a área de contato com a pele, mantendo seu bebê sempre confortável.",25.99,25.99,0,Drogaria Globo,Sudeste,São Paulo,545.0
3400,Algie 150mg com 10comprimidos,7891317013844.0,ALGIE,"Algie (cetoprofeno) é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores",50.47,41.19,18,Drogaria Globo,Sudeste,São Paulo,546.0
3401,Tadalafila 20mg Genérico Biosintetica 4 Comprimidos,7896181926238.0,TADALAFILA,A tadalafila é indicada para o tratamento da disfunção erétil,55.98,18.21,67,Drogaria Globo,Sudeste,São Paulo,547.0
3402,"Lapiseira Labial Vult Rosé 0,35g",7899852021287.0,VULT,"Lapiseira Labial Vult Rosé 0,35g",15.99,15.99,0,Drogaria Globo,Sudeste,São Paulo,548.0
3403,Sérum Vichy Liftactiv Retinol Specialist 30ml,7908615007847.0,VICHY,Sérum Vichy Liftactiv Retinol Specialist 30ml,237.19,237.19,0,Drogaria Globo,Sudeste,São Paulo,549.0
3404,Roupa Íntima Tena Pants Confort G/EG 16 Unidades,7896770979348.0,TENA,"Roupa Íntima Descartável TENA Pants Confort é uma roupa íntima descartável e unissex de rápida absorção, proporcionando ao usuário ativo ou com pouca mobilidade facilidade de uso, discrição e segurança.  É indicado para perdas de urina moderada a severa.  ?	Núcleo de Ultra Absorção Acquidry;  ?	Odour Neutralizer? - Sistema que neutraliza o risco de odores indesejáveis;  ?	Material Macio - suave ao contato com a pele;  ?	Mais elásticos em volta da cintura permitindo uma adaptação perfeita ao corpo; ?	Elásticos duplos nas pernas para um melhor conforto e segurança contra vazamentos; ?	Costuras laterais removíveis para retirar o produto com maior facilidade.",56.49,56.49,0,Drogaria Globo,Sudeste,São Paulo,550.0
3405,Protetor Solar Episol Color Pele Clara FPS70 40g,7891142145680.0,MANTECORP,"O Protetor Solar Episol Color foi desenvolvido especialmente para proteger contra os raios solares, além de uniformizar o tom da pele. Sua fórmula possui textura fondant que se torna fluida durante a aplicação, finalizando com toque seco, efeito matte e resistência à água. Ele contém pigmentos minerais que promovem o efeito de base, disfarçam as linhas de expressão e imperfeições da cútis.",68.79,68.79,0,Drogaria Globo,Sudeste,São Paulo,551.0
3406,Pilox Minoxidil 50mg/ml Solução Spray Capilar 50ml,7891317025236.0,PILOX,Este medicamento é indicado no tratamento da alopecia androgênica (calvície hereditária) em homens adultos.,66.43,57.68,13,Drogaria Globo,Sudeste,São Paulo,552.0
3407,Enxaguante Bucal Cepacol Tradicional Leve 500ml Pague 350ml,7896714275468.0,CEPACOL,"Cepacol� Tradicional é o jeito inteligente de cuidar da sua boca. A ação anti-séptica e antibacteriana de Cepacol� Flúor ajuda a combater os germes causadores de cáries, placa bacteriana e mau hálito, deixando sua boca mais saudável. Testes clínicos comprovam que o flúor incorpora-se ao esmalte dos dentes, diminuindo o aparecimento de cáries em até 50%.",16.49,16.13,2,Drogaria Globo,Sudeste,São Paulo,553.0
3408,Condicionador Turma da Mônica Huggies Camomila 200ml,7896018700765.0,HUGGIES,"Condicionador Infantil Huggies Chá de Camomila foi especialmente desenvolvido para proporcionar maciez e desembaraço aos cabelos do bebê. Sua exclusiva Fórmula com tecnologia Huggies, dermatológica e oftalmologicamente testada, não irrita os olhos nem a pele, deixando os cabelos fáceis de pentear.",17.99,17.99,0,Drogaria Globo,Sudeste,São Paulo,554.0
3409,Suco Del Valle Fresh Limão 250ml,7894900558500.0,NÃO DEFINIDO,,1.49,1.49,0,Drogaria Globo,Sudeste,São Paulo,555.0
3410,Preservativo Jontex Sensitive Leve 8 pague 7,7896222721068.0,JONTEX,"O Preservativo Jontex Sensitive por ser mais fino, permite uma sensação de contato maior, gerando ainda mais prazer durante a relação sexual. É testado um a um eletronicamente, proporcionando segurança e confiança. Para que serve: Além de agir como um método contraceptivo, também é um método muito importante e eficiente na prevenção de doenças sexualmente transmissíveis.",21.99,21.99,0,Drogaria Globo,Sudeste,São Paulo,556.0
3411,Kit Shampoo+Condicionador Hidra Multy Kids 300ml,7898623957350.0,SALON LINE,"O Kit Hidra Multy Kids traz benefícios e praticidade para os pais e seus pequenos. Além disso, os produtos são seguros e multifuncionais para ajudar na rotina corrida do dia a dia. O Shampoo e o Condicionador Multy Salon Line tratam dos cabelos e do corpo das crianças.",16.79,16.79,0,Drogaria Globo,Sudeste,São Paulo,557.0
3412,Hidratante Facial Gel Fresh 100Ml,42398004.0,NIVEA,"O Hidratante Facial Gel Fresh é 100% livre de óleos, ideal para pele oleosa. 100x mais leve que um creme facial normal, ele prolonga o efeito da maquiagem na pele, não obstrui os poros e hidrata por 24h sem deixar brilho.",33.49,33.49,0,Drogaria Globo,Sudeste,São Paulo,558.0
3413,Acnezil 50mg/g Gel Cimed 20g,7896523208282.0,ACNEZIL,"Acnezil proporciona diminuição da quantidade e do tamanho das lesões da acne. Além disso, atua como antisséptico e controla a oleosidade da pele, mas com efeito cosmético de base.",9.19,9.19,0,Drogaria Globo,Sudeste,São Paulo,559.0
3414,Lenços Umedecidos Johnsons Baby Extra Suavidade 44 Unidades,7891010247324.0,J&J BABY,"Lenços Umedecidos Johnsons Limpeza e Suavidade foram desenvolvidas especialmente para a pele delicada do bebê, podendo ser usadas diariamente, pois não ressecam a pele. Dermatologicamente testado e hipoalergênico.",15.79,15.79,0,Drogaria Globo,Sudeste,São Paulo,560.0
3415,Fórmula Infantil Aptamil para Lactentes Premium 1 400g,7891025111832.0,APTAMIL,"Fórmula Infantil para LactentesAptamil Premium + 1 é uma fórmula infantil para lactentes até os 6 meses de vida com prebióticos (GOS/FOS), DHA e ARA, e nucleotídeos.",41.39,41.39,0,Drogaria Globo,Sudeste,São Paulo,561.0
3416,Palito Interdental Gum Soft Picks 40 Unidades,70942122863.0,GUM,"GUM Soft Picks deslizam delicadamente entre os dentes para eliminar, de forma segura, a placa e resíduos alimentares.",20.99,20.99,0,Drogaria Globo,Sudeste,São Paulo,562.0
3417,Sabonete Lux Essências do Brasil Dama da Noite 100g,7891150091009.0,LUX,Sabonete Lux Essências do Brasil Dama da Noite 100g,3.49,3.49,0,Drogaria Globo,Sudeste,São Paulo,563.0
3418,Esmalte Risqué Licor 8Ml,7891182014649.0,RISQUE,"O Esmalte Risqué vem se destacando entre as mulheres, atualmente é um dos esmaltes mais procurados pelas mulheres, entre os motivos dessa popularidade, destacamos a grande variedade de cores, além da qualidade do produto, pois contém cálcio, deixando as unhas fortes e saudáveis.",5.49,5.49,0,Drogaria Globo,Sudeste,São Paulo,564.0
3419,"Batom Vult Make Up Matte Tradicional Cor 15 3,5g",7899852001630.0,VULT,"O Batom Vult Make Up Matte contém ingredientes que hidratam e nutrem os seus lábios, protegendo do ressecamento. Sua cor define a boca e o contorno deixando seus lábios incríveis, lindos e macios, com acabamento mate e opaco de longa duração.",20.99,20.99,0,Drogaria Globo,Sudeste,São Paulo,565.0
3420,Omeprazol 20mg Genérico Medley 28 Cápsulas,7896422504379.0,MEDLEY - GENERICO,"O omeprazol está indicado nas úlceras pépticas benignas, tanto gástrica como duodenal.",59.67,21.77,64,Drogaria Globo,Sudeste,São Paulo,566.0
3421,Whey Protein 100% Max Titanium Cookies & Cream 900g,7899941201804.0,MAX TITANIUM,Suplemento de proteína concentrada do soro do leite. Matéria-prima elaborada com alta tecnologia. Elevado valor biológico e rápida digestibilidade. Alta concentração de aminoácidos essenciais. Auxilia na manutenção e formação de músculos.,157.99,157.99,0,Drogaria Globo,Sudeste,São Paulo,567.0
3422,Gillete Fusion 5 Aparelho Babear 1 Unidade,7500435132008.0,GILLETTE,"Você quer um barbear mais confortável com menos irritação *? A Gillette Fusion tem 5 lâminas para maior conforto ao barbear. Além da lâmina de precisão, perfeita para lugares de difícil acesso, como as costeletas e sob o nariz. Além disso, sua faixa de lubrificação fica branca, indicando quando o barbear não é mais ideal.",40.59,40.59,0,Drogaria Globo,Sudeste,São Paulo,568.0
3423,Terolac Solução Oftálmica 5ml,7896676428681.0,TEROLAC,"erolac é indicado para alívio dos sinais e sintomas da conjuntivite alérgica, para tratamento e/ou profilaxia da inflamação em pacientes que foram submetidos a cirurgias oculares e cirurgias de extração de catarata e tratamento da dor ocular.",54.51,45.06,17,Drogaria Globo,Sudeste,São Paulo,569.0
3424,"Escova Dental Curaprox Interdental 0,09mm CPS09B",7612412422795.0,CURAPROX,"O Refil Interdental Curaprox CPS é indicado para prevenção de doenças bucais, limpeza de prótese e implantes. Proporciona alta precisão na limpeza eficaz e suave das áreas mais difíceis entre os dentes e a gengiva.",35.49,35.49,0,Drogaria Globo,Sudeste,São Paulo,570.0
3425,Kit Escova de Dente Sensodyne Extra Macia 2 Unidades,7896009498596.0,SENSODYNE,,29.69,29.69,0,Drogaria Globo,Sudeste,São Paulo,571.0
3426,Protena Plus D 30 Cápsulas,7896658039867.0,PROTENA,"Protena é um alimento composto por colágeno tipo II e a base de cartilagem de frango, vitamina D e Ômega 3 (óleo de peixe).",129.49,129.49,0,Drogaria Globo,Sudeste,São Paulo,572.0
3427,"Hiluropt 1,5 mg Solução Oftalmológica 10ml",7899095200586.0,HILUROPT,,45.27,39.87,12,Drogaria Globo,Sudeste,São Paulo,573.0
3428,Citrato de Sildenafila 50mg Genérico Medley 2 Comprimidos,7896422525183.0,SILDENAFILA,"O citrato de sildenafila está indicado para o tratamento da disfunção erétil, que se entende como sendo a incapacidade de obter ou manter uma ereção (rigidez do pênis) suficiente para um desempenho sexual satisfatório.",9.17,3.73,59,Drogaria Globo,Sudeste,São Paulo,574.0
3429,Aceclofenaco 100mg Eurofarma com 12comprimidos,7891317020002.0,ACECLOFENACO,,47.24,16.95,64,Drogaria Globo,Sudeste,São Paulo,575.0
3430,Kit Aparelho de Depilar Gillette Prestobarba 3 Feminino Leve 4 Pague 3 Unidades,7501001109660.0,GILLETTE,Uma depilação suave começa com um grande aparelho. A cabeça auto ajustável do Prestobarba3 segue delicadamente os contornos do corpo para oferecer a depilação que sua pele merece. O aparelho conta também com três lâminas independentes e fita Lubrastrip para uma experiencia sem cortes e arranhões.,23.59,23.59,0,Drogaria Globo,Sudeste,São Paulo,576.0
3431,Shake Whey Protein Dux Doce de Leite 250ml,7898641074480.0,DUX,Shake Whey Protein Dux Doce de Leite 250ml,9.79,9.79,0,Drogaria Globo,Sudeste,São Paulo,577.0
3432,Kit de Acessórios Para Nebulizador NB090 Infantil,7899828222489.0,INCOTERM,"O nebulizador Incoterm NB090 é indicado para diferentes condições respiratórias. Ele converte o medicamento líquido em vapor a ser inalado, o que permite que o medicamento atinja as áreas afetadas diretamente, causando menos efeitos colaterais e maior eficácia.",23.29,23.29,0,Drogaria Globo,Sudeste,São Paulo,578.0
3433,Toalha Umedecida Patrulha Canina 200 Unidades,7891800666243.0,TOPZ,Toalha Umedecida Patrulha Canina 200 Unidades,24.99,24.99,0,Drogaria Globo,Sudeste,São Paulo,579.0
3434,Hipoglos Amêndoas Pomada Leve 80g Pague 65g,7500435004626.0,NÃO DEFINIDO,,27.99,27.99,0,Drogaria Globo,Sudeste,São Paulo,580.0
3435,SkinCeuticals Phyto Corrective Gel 30ml,7899706187015.0,SKINCEUTICALS,"Possui uma textura leve não oleosa enriquecida com uma combinação exclusiva de extratos botânicos de alta sinergia, ácido hialurônico e glicerina. Os extratos botânicos são capazes de acalmar os desconfortos da pele e diminuir as marcas de acne. O ácido hialurônico e glicerina são os ativos responsáveis por garantir hidratação para pele.",245.19,245.19,0,Drogaria Globo,Sudeste,São Paulo,581.0
3436,Chupeta Kuka Premium Color de Silicone Ortodôntica Nº1 Azul,7896000628015.0,KUKA BABY,"Toda mãe procura oferecer o que a de mais moderno e seguro para o seu bebê, buscando atender aos desejos das mamães mais exigentes a Kuka criou a Chupeta Super Premium Color Bico Silicone Ortodôntico que foi desenvolvida com um design exclusivamente pensado no bem estar e conforto do bebê.",11.39,11.39,0,Drogaria Globo,Sudeste,São Paulo,582.0
3437,Dorflex 24 Comprimidos,7891058022136.0,DORFLEX,"Este medicamento é indicado no alívio da dor associada a contraturas musculares, incluindo dor de cabeça
tensional.",17.6,15.09,14,Drogaria Globo,Sudeste,São Paulo,583.0
3438,Fralda Pampers Supersec Pacotão P 34 Unidades,7500435132718.0,PAMPERS,"Supersec tem canais extra-absorventes exclusivos, que distribuem o xixi uniformemente e impedem que ele entre em contato com a pele do seu bebê. Sua cobertura tipo tecido, oferece mais conforto para o seu bebê. Fitas reajustáveis, bastão e de colagem, permitindo que você ajuste o quanto precisar, sem danificar a fralda.",39.69,39.69,0,Drogaria Globo,Sudeste,São Paulo,584.0
3439,Naprix 5mg 90 Comprimidos,7896094210714.0,NAPRIX,Tratamento de pressão arterial alta.,183.38,149.58,18,Drogaria Globo,Sudeste,São Paulo,585.0
3440,Fralda Pampers Confort Sec Pants Giga G 72 Unidades,7500435132558.0,PAMPERS,,89.99,89.99,0,Drogaria Globo,Sudeste,São Paulo,586.0
3441,Gel Lubrificante Ky Líquido Íntimo 50g,7897211100505.0,KY,"O Gel Lubrificante Íntimo K-Y 50g é formulado a base de água e não gorduroso, se tornando semelhante à lubrificação natural. É indicado para o uso em casos onde há secura vaginal devido a mudanças hormonais ou reações a alguns medicamentos, mas também pode ser utilizado para uma lubrificação adicional com ou sem o uso de preservativos. O produto não possui contraindicações e é extremamente higiênico. Evite o desconforto durante a relação sexual devido à falta de lubrificação da vagina com o Gel Lubrificante K-Y.",25.29,25.29,0,Drogaria Globo,Sudeste,São Paulo,587.0
3442,Sabonete Líquido Granado Castanha Refil 300Ml,7896512949905.0,GRANADO,"O Sabonete Líquido Granado Castanha 300ml limpa suavemente a pele, deixando-a macia e perfumada.",19.39,19.39,0,Drogaria Globo,Sudeste,São Paulo,588.0
3443,Mamadeira Kuka Aquarela Bico Ortodontico Com Alca Azul 330ml,7896000614018.0,KUKA BABY,A Mamadeira Aquarela da Kuka é perfeita para a hora da alimentação dos bebês.,37.99,37.99,0,Drogaria Globo,Sudeste,São Paulo,589.0
3444,Colônia Infantil Granado Bebê Calêndula 100ml,7896512959812.0,GRANADO,Colônia Infantil Granado Bebê Calêndula 100ml,67.29,56.99,15,Drogaria Globo,Sudeste,São Paulo,590.0
3445,Nutren Control Diet Baunilha 380g,7891000605349.0,NUTREN CONTROL,"Nutren Control é um suplemento alimentar que contém isomaltulose, um carboidrato de lenta absorção com baixo índice glicêmico.",100.39,100.39,0,Drogaria Globo,Sudeste,São Paulo,591.0
3446,Enxaguante Bucal Infantil Gum Avengers 250ml,7898185415077.0,GUM,Enxaguante Bucal Infantil Gum Avengers 250ml,10.99,10.99,0,Drogaria Globo,Sudeste,São Paulo,592.0
3447,Imuran 50mg 50 Comprimidos,7895858010362.0,IMURAN,"Esse medicamento diminui a força do sistema de proteção e defesa do organismo, o que é necessário quando o corpo se defende de agressores de forma excessiva, inadequada ou indesejável.",270.34,225.73,17,Drogaria Globo,Sudeste,São Paulo,593.0
3448,Umidificador Inconterm Ultra Preto 3l,7899828220300.0,INCOTERM,"O Umidificador de Ar Ultrassônico UMD100 Incoterm é indicado para repor a umidade e a qualidade do ar em locais de clima seco e regiões poluídas, proporcionando alívio e bem-estar.  Produz uma névoa fina e homogênea de vapor frio e inodoro capaz de umidificar e purificar o ar em ambientes sem alterar a temperatura, como: salas,quartos e escritórios.",171.39,171.39,0,Drogaria Globo,Sudeste,São Paulo,594.0
3449,Protetor Solar Facial Heliomax Gel Creme Sem Cor Fps 70 50g,7898244720173.0,Heliomax,Protetor Solar Facial Heliomax Gel Creme Sem Cor Fps 70 50g,71.49,71.49,0,Drogaria Globo,Sudeste,São Paulo,595.0
3450,Esmalte Beautycolor Cremoso Vermelho Vinho Wendy 8ml,7896509975085.0,BEAUTY COLOR,Os esmaltes cremosos contêm tons queridinhos pelas mulheres.são cores que nunca sai de moda e claro as cores das tendências são muitas opções para várias ocasiões.,2.69,2.69,0,Drogaria Globo,Sudeste,São Paulo,596.0
