Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Plenance 20Mg Libbs Caixa 30 Comprimidos Revestidos,7896094206137,LIBBS,,154.87,134.74,13.0%,Santo Remedio,Sudeste,Sao Paulo
Emulsão Scott Suplemento de Vitaminas A e D Sabor Laranja Frasco com 200ml,7896015590932,GLAXO OTC,Scott Laranja GSK Frasco 200ml Emulsão,42.23,29.56,30.0%,Santo Remedio,Sudeste,Sao Paulo
Condroflex 1 5 1 2G Pó Or 30 Sach X 4 135G Sb Tangerina,7892953003787,ZODIAC,,152.72,132.87,13.0%,Santo Remedio,Sudeste,Sao Paulo
Torante 15Mg Ml Momenta Caixa 100Ml Copo Dosador,7891317015985,MOMENTA FARMACEUTICA,,60.48,56.41,7.0%,Santo Remedio,Sudeste,Sao Paulo
Artrodar 50Mg Trb Pharma Caixa 30 Cápsulas,7896281152018,TRB,Artrodar 50mg TRB Pharma Caixa 30 Cápsulas,246.25,214.24,13.0%,Santo Remedio,Sudeste,Sao Paulo
Toragesic Ofta 5Mg Ems Solução Oftálmica 5Ml,7896004768366,EMS PRESCRICAO,,67.28,62.57,7.0%,Santo Remedio,Sudeste,Sao Paulo
Fluviral Noite 4 Comprimidos,7896094916876,HYPERMARCAS CH,,11.93,10.3,14.0%,Santo Remedio,Sudeste,Sao Paulo
Alendronato De Sódio 70 Mg 4 Comprimidos Legrand Genérico,7894916143424,LEGRAND GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Gliclazida 30Mg 2Bl X 15 Comp Lib Prol,7896004762319,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Alopurinol 100Mg Medley Caixa 30 Comprimidos,7896422516921,MEDLEY GENERICO,Alopurinol 100mg Medley Caixa 30 Comprimidos,12.12,10.49,13.0%,Santo Remedio,Sudeste,Sao Paulo
Victoza 6Mg Ml Com 2 Sistemas De Aplicação,7897705201770,NOVO NORDISK,,680.69,592.2,13.0%,Santo Remedio,Sudeste,Sao Paulo
Naldecon Noite - Blíster 4 Comprimidos,7896016806247,RECKITT BENCKISER,,12.66,12.03,5.0%,Santo Remedio,Sudeste,Sao Paulo
Fentizol 600Mg AchêCaixa 1 Óvulos Aplicador,7896658007309,ACHE,Fentizol 600mg Aché Caixa 1 Óvulo + Aplicador,87.82,81.67,7.0%,Santo Remedio,Sudeste,Sao Paulo
Rinosoro Sic Hipertônico Spray 30Mg Ml Solução Nasal 50Ml,7897322704944,HYPERMARCAS PP,,34.72,33.61,3.0%,Santo Remedio,Sudeste,Sao Paulo
Simeticona 15Ml 75Mg Ml,7896004705330,EMS GENERICO,,25.3,9.99,61.0%,Santo Remedio,Sudeste,Sao Paulo
Olmesartana Midoxomila Hidroclorotiazida 40Mg 25Mg Caixa 30 Com,7891317124038,EUROFARMA GENERICO,,67.48,38.49,43.0%,Santo Remedio,Sudeste,Sao Paulo
Forfig 200Mg Cap Gel Dura Ct Bl Al Plas Inc X 60,7891317023348,MOMENTA FARMACEUTICA,,192.35,159.0,17.0%,Santo Remedio,Sudeste,Sao Paulo
Koli D3 50 000Ui 2Blx2 Com Rev S,7894916512145,EMS PRESCRICAO,,82.46,76.69,7.0%,Santo Remedio,Sudeste,Sao Paulo
Spray Nasal Maresis Ar Fqm,7898040325282,FQM,,58.81,55.87,5.0%,Santo Remedio,Sudeste,Sao Paulo
Addera D3 7 000Ui Mantecorp Farmasa Caixa 10 Cápsulas,7897322709734,HYPERMARCAS PP,,43.6,43.6,,Santo Remedio,Sudeste,Sao Paulo
Sedantol Sr Strip Fr 30 Comp Rev,7896360001190,DOVALLE,,94.73,94.73,,Santo Remedio,Sudeste,Sao Paulo
Perlatte 9000 Fcc Eurofarma,7891317189884,EUROFARMA,,73.67,69.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Calcitotal 60 Cápsulas Abbott,7891158103308,ABBOTT,Calcitotal Zero Açúcar Abbott Caixa 60 Cápsulas,84.9,84.9,,Santo Remedio,Sudeste,Sao Paulo
Cetoconazol Dipropionato De Betametasona Ems Caixa 30G,7896004705125,EMS GENERICO,,32.11,19.99,38.0%,Santo Remedio,Sudeste,Sao Paulo
Rubenti 200Mg Abbott Caixa 60 Cápsulas,7891158103445,ABBOTT,,219.83,191.25,13.0%,Santo Remedio,Sudeste,Sao Paulo
Traumeel S 50G Pomada Heel,7898908753172,HERBARIUM,,91.23,77.1,15.0%,Santo Remedio,Sudeste,Sao Paulo
Perivasc Eurofarma Caixa 60 Comprimidos Revestidos,7891317001728,EUROFARMA,Perivasc Eurofarma Caixa 60 Comprimidos Revestidos,138.29,120.31,13.0%,Santo Remedio,Sudeste,Sao Paulo
Cicloprimogyna Bayer Caixa 21 Dreas,7891106905886,BAYER,,14.35,13.49,6.0%,Santo Remedio,Sudeste,Sao Paulo
Carvedilol 12 5Mg Ems Caixa 30 Comprimidos,7896004731308,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Sorine H 30Mg 50Ml Spray Aché,7896658023361,ACHE,Sorine H Spray 30mg/ml Aché Caixa 50ml,28.22,28.22,,Santo Remedio,Sudeste,Sao Paulo
Vytorin 10 10Mg Msd Caixa 30 Comprimidos,7897337714471,ORGANON BRASIL,,195.2,169.82,13.0%,Santo Remedio,Sudeste,Sao Paulo
Antigripal Benegrip Multi Dia 20 Comprimidos,7896094918108,HYPERMARCAS CH,Benegrip Multi Dia Cosmed Caixa 20 Comprimidos,45.83,42.99,6.0%,Santo Remedio,Sudeste,Sao Paulo
VITER C GOTAS 20ML,7899898601535,NATULAB,,17.08,9.46,45.0%,Santo Remedio,Sudeste,Sao Paulo
Clexane 40Mg 0 4Ml Sanofi Caixa 10 Seringas Solução Injetável,7896070605268,SANOFI - PRESCRIÇÃO,"Clexane 40mg/0,4ml Sanofi Caixa 10 Seringas Pré-Enchidas de 0,4ml com Sistema de Segurança Solução Injetável",834.29,725.83,13.0%,Santo Remedio,Sudeste,Sao Paulo
"Lakesia Sérum Fortalecedor de Unhas, FORTALECE e hidrata a unha, HIPOALERGÊNICO, 7ml",7898636191055,GENOMMA,,70.29,51.52,27.0%,Santo Remedio,Sudeste,Sao Paulo
Flancox 400Mg Apsen Caixa 20 Comprimidos Revestidos,7896637022446,APSEN,,57.41,53.39,7.0%,Santo Remedio,Sudeste,Sao Paulo
Xarope Guaco Edulito Herbarium 120Ml,7896083404094,HERBARIUM,"Guaco Edulito 81,5mg/ml Herbarium Caixa 120ml",49.55,49.0,1.0%,Santo Remedio,Sudeste,Sao Paulo
Desloratadina 0 5Mg Ml Xpe Vd,7899547505085,PRATTI-DONADUZZI,,37.53,18.99,49.0%,Santo Remedio,Sudeste,Sao Paulo
Renitec 10Mg Msd Caixa 30 Comprimidos,7897337705882,ORGANON BRASIL,,25.09,23.58,6.0%,Santo Remedio,Sudeste,Sao Paulo
Expectamin 20 Mg Ml 0 4 Mg Ml 4 Mg Ml Xarope Legrand Similar,7896004731674,LEGRAND,,30.82,24.99,19.0%,Santo Remedio,Sudeste,Sao Paulo
Puran T4 12 5Mcg Sanofi Caixa 30 Comprimidos,7891058003555,SANOFI - PRESCRIÇÃO,"Puran T4 12,5mcg Sanofi Caixa 30 Comprimidos",3.65,3.54,3.0%,Santo Remedio,Sudeste,Sao Paulo
OLEO DE RICINO 30ML UNIPHAR,7898031310662,UNIPHAR,,6.31,5.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Condres Ultra Blister Ems 30 Comprimidos,7894916513234,EMS PRESCRICAO,,210.52,197.83,6.0%,Santo Remedio,Sudeste,Sao Paulo
Suavlax Caixa Com 30 Cap,7896360001589,DOVALLE,,68.41,68.41,,Santo Remedio,Sudeste,Sao Paulo
Pastilhas para garganta Strepsils Sabor Laranja - Sem açúcar - Caixa 8 Pastilhas,7891035010958,RECKITT BENCKISER,,15.78,15.49,2.0%,Santo Remedio,Sudeste,Sao Paulo
Icaden 10 Mg Ml Solução Schering,5702191025545,LEO PHARMA,,69.43,64.57,7.0%,Santo Remedio,Sudeste,Sao Paulo
Venzer Hct Candesartana Cilexetila 8Mg Hidroclorotiazida 12 5Mg Libbs Caixa 30 Comprimidos,7896094206403,LIBBS,,90.41,78.66,13.0%,Santo Remedio,Sudeste,Sao Paulo
Maresis 100Ml Solução Nasal,7898040326425,FQM,,55.88,53.08,5.0%,Santo Remedio,Sudeste,Sao Paulo
Preni 11Mg Ml Sol Or Fr Got 20Ml,7891317004163,EUROFARMA,,39.12,37.16,5.0%,Santo Remedio,Sudeste,Sao Paulo
Alurax 2Mg Momenta Caixa 30 Comprimidos Revestidos,7891317013943,MOMENTA FARMACEUTICA,,65.86,57.3,13.0%,Santo Remedio,Sudeste,Sao Paulo
Quelatus Fr 30 Comp,7891317015473,MOMENTA FARMACEUTICA,,111.21,111.21,,Santo Remedio,Sudeste,Sao Paulo
Solução Oftalmológica Luvis 60 Cápsulas Gelatinosas,7896006216827,GENOM,,196.01,180.0,8.0%,Santo Remedio,Sudeste,Sao Paulo
Omcilon A Orabase 1 Mg G B Ms,7896641812279,ASPEN PHARMA,,25.56,24.28,5.0%,Santo Remedio,Sudeste,Sao Paulo
Daflon 500Mg Servier Caixa 30 Comprimidos Revestidos,7898029551770,SERVIER,,125.62,109.29,13.0%,Santo Remedio,Sudeste,Sao Paulo
Regenerador E Hidratante Labial Cifarma Probentol 10G,7898495609784,CIFARMA SIM / GEN,,41.68,33.78,19.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato De Amiodarona 100Mg Medley Caixa 30 Comprimidos,7891058001667,MEDLEY GENERICO,,19.93,16.49,17.0%,Santo Remedio,Sudeste,Sao Paulo
Vitamina C com Arginina Targifor 16 comprimidos efervescentes,7891058021931,SANOFI - CHC,,,,,Santo Remedio,Sudeste,Sao Paulo
Cloridrato De Amiodarona 200Mg Medley Caixa 30 Comprimidos,7891058001681,MEDLEY GENERICO,,38.06,27.99,26.0%,Santo Remedio,Sudeste,Sao Paulo
Desalex D12 2 5 120Mg Caixa 10 Comp Lib Mod,7897337713498,SUPERA FARMA,Desalex D12 Merck Caixa 10 Comprimidos de Liberação Modificada,63.4,58.96,7.0%,Santo Remedio,Sudeste,Sao Paulo
Levotiroxina Sádica 50Mcg Merck Caixa 30 Comprimidos,7891721019845,MERCK GENERICO,,12.47,10.49,16.0%,Santo Remedio,Sudeste,Sao Paulo
Cor Select 2 5Mg Biolab Caixa 30 Comprimidos,7898549755627,BIOLAB SANUS,,75.14,65.37,13.0%,Santo Remedio,Sudeste,Sao Paulo
Inpruv D 50 000Ui Caixa 4 Comp Rev,7896637027762,APSEN,,81.09,75.41,7.0%,Santo Remedio,Sudeste,Sao Paulo
Atenolol 100 Mg 30 Comprimidos Legrand Genérico,7894916144698,LEGRAND GENERICO,,38.06,17.99,53.0%,Santo Remedio,Sudeste,Sao Paulo
Lotar AchêCaixa 30 Cápsulas,7896181907497,ACHE,,81.66,71.04,13.0%,Santo Remedio,Sudeste,Sao Paulo
Hidraplex Reidratante Oral Sabor Laranja 4 Envelopes,7898133137372,NATULAB,"Hidraplex Laranja Natulab Caixa 4 Envelopes de 27,9g Cada",45.34,17.99,60.0%,Santo Remedio,Sudeste,Sao Paulo
VITASAY 50+ MULHER AZ 60CPR,7896094917996,HYPERMARCAS CH,,118.08,90.99,23.0%,Santo Remedio,Sudeste,Sao Paulo
Valeriane 50Mg Zydus Nikkho Caixa 20 Dreas,7897460400517,ZYDUS NIKKHO,,94.76,88.13,7.0%,Santo Remedio,Sudeste,Sao Paulo
Nimesulida 100 Mg 12 Comprimidos Legrand Genérico,7894916143080,LEGRAND GENERICO,,20.81,7.99,62.0%,Santo Remedio,Sudeste,Sao Paulo
Plurair 50Mcg Libbs Caixa 12Ml,7896094201545,LIBBS,Plurair 50mcg Libbs Caixa 12ml,63.7,55.42,13.0%,Santo Remedio,Sudeste,Sao Paulo
Vitamina D Maxxi D3 Kids Gotas 10Ml,7898430191084,MYRALIS PHARMA,,61.17,61.17,,Santo Remedio,Sudeste,Sao Paulo
Polivitamínico Tacitá Cristália,7896676438550,CRISTALIA,,129.3,126.73,2.0%,Santo Remedio,Sudeste,Sao Paulo
Kaloba 111 111Mg Takeda Caixa 21 Comprimidos Revestidos,7896641808227,HERBARIUM,,110.98,96.55,13.0%,Santo Remedio,Sudeste,Sao Paulo
Carbocisteína 20 Mg Ml 1 Ml BiosintÉtica Genérico,7896181909453,BIOSINTETICA GENERIC,,21.13,14.99,29.0%,Santo Remedio,Sudeste,Sao Paulo
Estomazil Guaraná Sachê 5G,7896094907348,HYPERMARCAS CH,,,,,Santo Remedio,Sudeste,Sao Paulo
Xefo 8Mg Biolab Caixa 30 Comprimidos Revestidos,7896112421498,BIOLAB SANUS,,50.08,46.57,7.0%,Santo Remedio,Sudeste,Sao Paulo
Atorvastatina Cálcica 40Mg Medley Caixa 30 Comprimidos,7896422525848,MEDLEY GENERICO,,168.46,71.98,57.0%,Santo Remedio,Sudeste,Sao Paulo
Viter C 500Mg 20 Comprimidos Natulab,7898133136481,NATULAB,,29.24,11.21,62.0%,Santo Remedio,Sudeste,Sao Paulo
CataflamPRO Emulgel Tripla Ação Analgésico Anti-Inflamatório para Tratamento da Inflamação Muscular com 60g,7896261014268,GLAXO OTC,,40.99,39.99,2.0%,Santo Remedio,Sudeste,Sao Paulo
Sundown Omega-3 Fish Oil 1000mg 60 Comprimidos,030768038199,NESTLE VITAMINAS,,148.89,139.58,6.0%,Santo Remedio,Sudeste,Sao Paulo
Ins Humulin 70 30,7896382700224,ELI LILY,,82.92,72.14,13.0%,Santo Remedio,Sudeste,Sao Paulo
Hidroclorotiazida 50 Mg 20 Comprimidos Sanofi Aventis Genérico,7891058002664,MEDLEY GENERICO,,4.73,4.49,5.0%,Santo Remedio,Sudeste,Sao Paulo
Motilium 10Mg Janssen Caixa 90 Comprimidos,7896212424597,CELLERA FARMA,Motilium 10mg Janssen Caixa 90 Comprimidos,86.93,80.84,7.0%,Santo Remedio,Sudeste,Sao Paulo
Nafazolina Zinco Colírio Legrand 20Ml,7896004810188,LEGRAND,,18.0,11.99,33.0%,Santo Remedio,Sudeste,Sao Paulo
Emulsão Scott Suplemento de Vitaminas A e D Sabor Laranja Frasco com 400ml,7896015590949,GLAXO OTC,,52.79,42.23,20.0%,Santo Remedio,Sudeste,Sao Paulo
Carvedilol 3 125Mg Ems Caixa 30 Comprimidos,7896004731261,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Alta D Caps 15 000Ui Eurofarma Caixa 4 Cápsulas,7891317003906,EUROFARMA,,56.64,52.68,7.0%,Santo Remedio,Sudeste,Sao Paulo
KELTRINA PLUS 5%,7896472502745,MULTILAB,Keltrina Plus 50mg/ml Erva-Doce Multilab Caixa 60ml,44.03,22.99,48.0%,Santo Remedio,Sudeste,Sao Paulo
Nasoclean 125Ml Solução Nasal 9Mg Ml,7896015530372,GLAXOSMITHKLINE,Nasoclean GSK Caixa 125ml Solução Aerossol,59.13,59.13,,Santo Remedio,Sudeste,Sao Paulo
SANATIVO PROPOLIS E MEL SPRAY 50ML,7898099460026,LAPERLI,,24.2,22.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
SANATIVO TRADICIONAL 60ML,7898099460019,LAPERLI,,41.99,34.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Percoide 40Mg Caixa 7 Comp,7891317014476,MOMENTA FARMACEUTICA,,62.39,58.02,7.0%,Santo Remedio,Sudeste,Sao Paulo
Equitam 80Mg 30Cps Mometa,7891317004651,MOMENTA FARMACEUTICA,,72.35,62.94,13.0%,Santo Remedio,Sudeste,Sao Paulo
Neutrofer Fólico Ems Caixa 30 Comprimidos Revestidos,7894916500425,EMS PRESCRICAO,Neutrofer Fólico EMS Caixa 30 Comprimidos Revestidos,45.29,42.12,7.0%,Santo Remedio,Sudeste,Sao Paulo
Cromolerg 4 Allergan Caixa 5Ml Solução Oftálmica,7897316801413,ALLERGAN,Cromolerg (4%) Allergan Caixa 5ml Solução Oftálmica Estéril,20.52,19.49,5.0%,Santo Remedio,Sudeste,Sao Paulo
Rinosoro Jet Xt 0 9% 100Ml,7896094917835,HYPERMARCAS PP,,65.84,64.75,2.0%,Santo Remedio,Sudeste,Sao Paulo
Sucrafilm 1G Ems Caixa 30 Comprimidos Mastigáveis,7894916500869,EMS PRESCRICAO,Sucrafilm 1g EMS Caixa 30 Comprimidos Mastigáveis,74.44,64.76,13.0%,Santo Remedio,Sudeste,Sao Paulo
Xarope Leg 0 5Mg Ml Eurofarma Caixa 100Ml Seringa Dosadora Adaptador De Frasco,7891317488727,EUROFARMA,"Xarope Leg 0,5mg/ml Eurofarma Caixa 100ml + Seringa Dosadora + Adaptador de Frasco",70.71,70.71,,Santo Remedio,Sudeste,Sao Paulo
Cetrolac Md 4Mg Ml Sol Oft Fr Got X 5Ml,7896006290124,GENOM,,50.61,47.07,7.0%,Santo Remedio,Sudeste,Sao Paulo
Drospirenona 3Mg Etinilestradiol 0 03Mg EMS Com 63 Comprimidos,7896004755878,EMS GENERICO,Drospirenona + Etinilestradiol EMS Caixa 63 Comprimidos Revestidos,134.62,66.99,50.0%,Santo Remedio,Sudeste,Sao Paulo
OFOLATO D FER 1000UI 30CPR,7896094919648,HYPERMARCAS PP,,109.55,104.07,5.0%,Santo Remedio,Sudeste,Sao Paulo
Suplemento Alimentar Culturelle Probiótico Saúde Digestiva 10 Cápsulas,7893454714806,CELLERA FARMA,"Culturelle® é o probiótico de uso diário número 1 do mundo1 e a marca de probiótico de maior confiança dos consumidores nos EUA2. Culturelle® contribui para sua saúde gastrointestinal e auxilia na manutenção e equilíbrio da flora intestinal. Não contém glúten, livre de lactose e livre de açúcar.",73.67,69.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Loratamed 1Mg 100Ml Xarope Cimed,7896523202204,CIMED,,25.52,17.99,30.0%,Santo Remedio,Sudeste,Sao Paulo
ROSULIB 10MG 30CPR SANDOZ,7897595632302,SANDOZ RX,Rosulib 10mg Sandoz Caixa 30 Comprimidos Revestidos,130.94,113.92,13.0%,Santo Remedio,Sudeste,Sao Paulo
Cosopt Mundipharma Caixa 10Ml Solução Oftálmica,7897337706292,MERCK SHARP DOHME,,358.43,358.43,,Santo Remedio,Sudeste,Sao Paulo
Montelair 4Mg AchêCaixa 60 SachêS,7896658030260,ACHE,Montelair 4mg Aché Caixa 60 Sachês,166.85,145.16,13.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato De Metformina 500Mg Prati Donaduzzi Caixa 30 Comprimidos,7899547511031,PRATTI-DONADUZZI,,8.24,7.99,3.0%,Santo Remedio,Sudeste,Sao Paulo
Osteoban 150Mg AchêCaixa 1 Comprimido Revestido,7896658019036,ACHE,Osteoban 150mg Aché Caixa 1 Comprimido Revestido,53.78,46.79,13.0%,Santo Remedio,Sudeste,Sao Paulo
Nistatina 25 000Ui G Teuto Caixa 60G 14 Aplicadores,7896112189107,TEUTO BRAS,,22.42,19.99,11.0%,Santo Remedio,Sudeste,Sao Paulo
Diacqua 50 Mg 30 Comprimidos Eurofarma Similar,7891317014599,MOMENTA FARMACEUTICA,Diacqua 50mg Momenta Caixa 30 Comprimidos,45.14,39.27,13.0%,Santo Remedio,Sudeste,Sao Paulo
Atropina 1 Allergan Caixa 5Ml Solução Oftálmica,7897316801154,ALLERGAN,,13.49,12.95,4.0%,Santo Remedio,Sudeste,Sao Paulo
Broncho Vaxom 7Mg Takeda Caixa 10 Cápsulas,7896672203886,CHIESI,Broncho-Vaxom 7mg Takeda Caixa 10 Cápsulas,104.54,90.95,13.0%,Santo Remedio,Sudeste,Sao Paulo
Maracujá Concentrix Legrand Caixa 100Ml Solução Oral,7896004779201,LEGRAND,Maracujá Concentrix Zero Açúcar Legrand Caixa 100ml Solução Oral,40.55,23.99,41.0%,Santo Remedio,Sudeste,Sao Paulo
Cimelide 100Mg Cimed Caixa 12 Comprimidos,7896523206110,CIMED,,26.1,9.99,62.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato De Terbinafina 250Mg Medley Caixa 14 Comprimidos,7896422504713,MEDLEY GENERICO,Cloridrato de Terbinafina 250mg Medley Caixa 14 Comprimidos,83.02,62.49,25.0%,Santo Remedio,Sudeste,Sao Paulo
Suplemento Alimentar Andractiv Besins Healthcare 30 Cápsulas,7898948648513,BESINS HEALTHCARE,,223.13,223.13,,Santo Remedio,Sudeste,Sao Paulo
Conexium Com 30 Comprimidos,7896360001916,DOVALLE,,111.65,104.54,6.0%,Santo Remedio,Sudeste,Sao Paulo
Suplemento Alimentar Fixare Pro Limão 60 Comprimidos,7894916514613,EMS PRESCRICAO,,212.01,169.9,20.0%,Santo Remedio,Sudeste,Sao Paulo
Levemir 100U Ml Novo Nordisk Flexpen Caixa 3Ml Solução Injetável,7897705201145,NOVO NORDISK,,132.87,115.6,13.0%,Santo Remedio,Sudeste,Sao Paulo
Suplemento Vitamínico Calcitran Mdk Mastigavel 30 Comprimidos,7898040328573,DIVCOM,,73.67,69.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Aval 80Mg Caixa 30 Comp Rev,7899420502316,SUPERA FARMA,,56.54,49.19,13.0%,Santo Remedio,Sudeste,Sao Paulo
Alginac 1Mg C 15 Comp,7891721013010,PROCTER&GAMBLE MED,,35.53,33.75,5.0%,Santo Remedio,Sudeste,Sao Paulo
Kombiglyze Xr 5Mg 1000Mg Caixa 5Bl X 6 Comp,7896016807329,ASTRAZENECA,,249.96,217.47,13.0%,Santo Remedio,Sudeste,Sao Paulo
Zinpass Eze 10 10Mg Caixa 30 Comp Rev,7896422504621,SANOFI - PRESCRIÇÃO,,87.92,76.49,13.0%,Santo Remedio,Sudeste,Sao Paulo
Modik 50Mg G Md Caixa 12 SachêS,7896004728902,USK,,265.59,231.06,13.0%,Santo Remedio,Sudeste,Sao Paulo
Losartana Potsica 50Mg Hidroclorotiazida 12 5Mg Ems Caixa 30 Comprimidos Revestidos,7896004713922,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Osteonutri 600Mg 400Ui 30 Comprimidos,7896422524469,ASPEN PHARMA,,77.88,73.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Rox 10 Mg Com Rev Ct Bl Al Al X 30,7891317015794,MOMENTA FARMACEUTICA,,53.2,46.28,13.0%,Santo Remedio,Sudeste,Sao Paulo
Profenid Protect Sanofi Caixa 10 Cápsulas,7891058011499,SANOFI - PRESCRIÇÃO,,75.08,69.82,7.0%,Santo Remedio,Sudeste,Sao Paulo
Nitrendipino 10Mg BiosintÉtica Caixa 30 Comprimidos Revestidos,7896181907220,BIOSINTETICA GENERIC,,39.12,21.99,44.0%,Santo Remedio,Sudeste,Sao Paulo
Cetoconazol Dipropionato De Betametasona Creme Eurofarma Caixa 30G,7891317002442,EUROFARMA GENERICO,,28.07,16.99,39.0%,Santo Remedio,Sudeste,Sao Paulo
Kronel Gel Bisnaga Mais 10 Aplicadores Hebro,7896685300657,HEBRON,,125.03,125.03,,Santo Remedio,Sudeste,Sao Paulo
Aftliv Solução Oral 25Ml Solução Bucal Natulab,7898133139741,NATULAB,,49.36,19.99,60.0%,Santo Remedio,Sudeste,Sao Paulo
Lactofos 15 Sachês,7898040325114,FQM,Lactofos FQM Caixa 15 Unidades de 6g Cada,104.96,104.96,,Santo Remedio,Sudeste,Sao Paulo
Nistatina 25 000Ui G Creme Vag Bg 14 Aplic,7896422504577,MEDLEY GENERICO,Nistatina 25.000UI/g Medley Caixa 60g Creme Vaginal + 14 Aplicadores,16.56,15.99,3.0%,Santo Remedio,Sudeste,Sao Paulo
Hominus 2 5Mg Caixa 30 Cap Gel Dura,7891317014957,MOMENTA FARMACEUTICA,,156.11,135.82,13.0%,Santo Remedio,Sudeste,Sao Paulo
Brexin Caixa 5 Comp,7890282800329,GROSS,,51.62,48.01,7.0%,Santo Remedio,Sudeste,Sao Paulo
Prazol 30Mg Medley Caixa 28 Cápsulas,7896422521710,CELLERA FARMA,Prazol 30mg Medley Caixa 28 Cápsulas de Liberação Retardada,108.98,94.81,13.0%,Santo Remedio,Sudeste,Sao Paulo
Colírio Mirugell 15Ml,7896676432985,LATINOFARMA,Mirugell Latinofarma Caixa 15ml Lubrificante Oftálmico Estéril,60.43,60.43,,Santo Remedio,Sudeste,Sao Paulo
Drusolol Genom Caixa 5Ml Solução Oftálmica,7896006230052,GENOM,,97.06,84.44,13.0%,Santo Remedio,Sudeste,Sao Paulo
Adipept 20Mg AchêCaixa 28 Comprimidos Revestidos,7896658021688,ACHE,,55.88,48.62,13.0%,Santo Remedio,Sudeste,Sao Paulo
Sucrafilm 2G 10Ml Ems Caixa 20 Flaconetes 10Ml Cada,7894916500746,EMS PRESCRICAO,,113.86,99.06,13.0%,Santo Remedio,Sudeste,Sao Paulo
Holmes 20Mg Caixa 30 Comp Rev,7891317922580,EUROFARMA,,46.12,40.12,13.0%,Santo Remedio,Sudeste,Sao Paulo
Hidraplex Natural 4 Envelopes,7898133137310,NATULAB,,45.25,17.99,60.0%,Santo Remedio,Sudeste,Sao Paulo
Sandoz Vitamina E 30 Cápsulas 400Mg,7897595624802,SANDOZ,,30.5,30.37,0.0%,Santo Remedio,Sudeste,Sao Paulo
Advil Extra Alívio 400mg Analgésico para Alívio das dores caixa com 20 cápsulas líquidas,7891045043595,GLAXO OTC,,52.2,49.99,4.0%,Santo Remedio,Sudeste,Sao Paulo
Naproxeno 500Mg 20 Comprimidos Teuto Genérico,7896112115175,TEUTO BRAS,Naproxeno 500mg Teuto Caixa 20 Comprimidos,40.58,27.49,32.0%,Santo Remedio,Sudeste,Sao Paulo
Indapen Sr 1 5Mg Torrent Pharma Caixa 30 Comprimidos Revestidos,8902220105676,TORRENT,,35.38,33.26,6.0%,Santo Remedio,Sudeste,Sao Paulo
Provance Aché 10 Comprimidos,7896658025136,ACHE,,50.97,50.97,,Santo Remedio,Sudeste,Sao Paulo
Digoxina 0 25Mg Pharlab Caixa 20 Comprimidos,7898216361595,PHARLAB,,12.78,9.49,26.0%,Santo Remedio,Sudeste,Sao Paulo
METAMUCIL LAR 10ENV,0020800750165,PROCTER&GAMBLE MED,,59.65,56.67,5.0%,Santo Remedio,Sudeste,Sao Paulo
Debet 24Mg 30Cp,7899420502859,SUPERA FARMA,,40.9,35.58,13.0%,Santo Remedio,Sudeste,Sao Paulo
Maleato De Enalapril 5Mg Ems Caixa 30 Comprimidos,7896004700526,EMS GENERICO,,24.33,13.99,42.0%,Santo Remedio,Sudeste,Sao Paulo
Maleato De Enalapril 10Mg Ems Caixa 30 Comprimidos,7896004700533,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Vertigium 10Mg Neo Química Caixa 50 Comprimidos,7896714239712,NEO QUÍMICA,Vertigium 10mg Neo Química Caixa 50 Comprimidos,15.19,13.99,8.0%,Santo Remedio,Sudeste,Sao Paulo
Liromag 30 Sachês Ems,7894916512251,EMS PRESCRICAO,,75.62,75.62,,Santo Remedio,Sudeste,Sao Paulo
Pergo 2Mg Ml Eurofarma Caixa 120Ml Copo Dosador,7891317013523,EUROFARMA,,48.89,45.47,7.0%,Santo Remedio,Sudeste,Sao Paulo
Benerva 300Mg Caixa 30 Comp Rev,7891106006316,CELLERA FARMA,Benerva 300mg Bayer Caixa 30 Comprimidos Revestidos,33.62,31.94,5.0%,Santo Remedio,Sudeste,Sao Paulo
"Fenaren 11,6Mg Gel 60G União Química",7896006208358,UNIAO QUIMICA SIMILA,,23.38,11.99,49.0%,Santo Remedio,Sudeste,Sao Paulo
